label1,label2,label3,label,node
0,0,0,0_0_0,955
0,0,0,0_0_0,3144
0,0,0,0_0_0,66
0,0,0,0_0_0,2629
0,0,0,0_0_0,3187
0,0,0,0_0_0,422
0,0,0,0_0_0,1603
0,0,0,0_0_0,1319
0,1,0,0_1_0,3169
0,0,0,0_0_0,62
0,0,0,0_0_0,2895
0,1,0,0_1_0,1367
0,0,0,0_0_0,1658
0,1,0,0_1_0,1523
0,0,0,0_0_0,1363
0,0,0,0_0_0,1770
0,1,0,0_1_0,1707
0,1,0,0_1_0,1289
0,1,0,0_1_0,3253
0,0,0,0_0_0,1075
0,0,0,0_0_0,2105
0,1,0,0_1_0,2947
0,1,0,0_1_0,459
0,0,0,0_0_0,2562
0,1,0,0_1_0,1420
0,1,0,0_1_0,2890
0,0,0,0_0_0,2244
0,0,0,0_0_0,2737
0,0,0,0_0_0,1165
0,0,0,0_0_0,3025
0,0,0,0_0_0,3271
0,1,0,0_1_0,3252
0,0,0,0_0_0,3168
0,1,0,0_1_0,3096
0,0,0,0_0_0,3224
0,0,0,0_0_0,265
0,0,0,0_0_0,107
0,1,0,0_1_0,2099
0,1,0,0_1_0,589
0,1,0,0_1_0,369
0,1,0,0_1_0,3165
0,0,0,0_0_0,717
0,0,0,0_0_0,2180
0,0,0,0_0_0,318
0,0,0,0_0_0,1002
0,1,0,0_1_0,2469
0,1,0,0_1_0,580
0,0,0,0_0_0,904
0,1,0,0_1_0,2960
0,0,0,0_0_0,871
0,0,0,0_0_0,876
0,0,0,0_0_0,676
0,0,0,0_0_0,2512
0,0,0,0_0_0,1023
0,0,0,0_0_0,72
0,0,0,0_0_0,430
0,1,0,0_1_0,2198
0,0,0,0_0_0,846
0,1,0,0_1_0,1192
0,0,0,0_0_0,791
0,1,0,0_1_0,2539
0,0,0,0_0_0,1052
0,0,0,0_0_0,254
0,0,0,0_0_0,2707
0,0,0,0_0_0,2542
0,0,0,0_0_0,3107
0,0,0,0_0_0,2085
0,1,0,0_1_0,3241
0,0,0,0_0_0,2109
0,0,0,0_0_0,2309
0,0,0,0_0_0,2053
0,0,0,0_0_0,722
0,0,0,0_0_0,2100
0,0,0,0_0_0,1725
0,0,0,0_0_0,536
0,0,0,0_0_0,451
0,0,0,0_0_0,485
0,0,0,0_0_0,1708
0,0,0,0_0_0,2874
0,0,0,0_0_0,2350
0,1,0,0_1_0,3008
0,0,0,0_0_0,2273
0,0,0,0_0_0,1817
0,0,0,0_0_0,2976
0,0,0,0_0_0,177
0,0,0,0_0_0,498
0,1,0,0_1_0,2251
0,0,0,0_0_0,1200
0,0,0,0_0_0,1035
0,0,0,0_0_0,2703
0,0,0,0_0_0,3148
0,0,0,0_0_0,1634
0,1,0,0_1_0,1537
0,0,0,0_0_0,1719
0,1,0,0_1_0,3058
0,0,0,0_0_0,2373
0,0,0,0_0_0,2234
0,0,0,0_0_0,392
0,0,0,0_0_0,2357
0,0,0,0_0_0,438
0,1,0,0_1_0,1298
0,0,0,0_0_0,1147
0,0,0,0_0_0,2045
0,0,0,0_0_0,3017
0,1,0,0_1_0,973
0,0,0,0_0_0,993
0,0,0,0_0_0,446
0,0,0,0_0_0,954
0,1,0,0_1_0,2693
0,0,0,0_0_0,1983
0,0,0,0_0_0,2120
0,1,0,0_1_0,1314
0,0,0,0_0_0,828
0,1,0,0_1_0,1365
0,0,0,0_0_0,38
0,0,0,0_0_0,1462
0,0,0,0_0_0,404
0,1,0,0_1_0,282
0,0,0,0_0_0,1117
0,0,0,0_0_0,2921
0,0,0,0_0_0,1924
0,0,0,0_0_0,1809
0,0,0,0_0_0,2732
0,1,0,0_1_0,3097
0,1,0,0_1_0,35
0,0,0,0_0_0,2404
0,1,0,0_1_0,667
0,0,0,0_0_0,2366
0,0,0,0_0_0,2861
0,1,0,0_1_0,1456
0,0,0,0_0_0,2054
0,0,0,0_0_0,458
0,0,0,0_0_0,519
0,1,0,0_1_0,758
0,0,0,0_0_0,3286
0,0,0,0_0_0,1618
0,0,0,0_0_0,2097
0,0,0,0_0_0,1836
0,0,0,0_0_0,2494
0,1,0,0_1_0,3268
0,1,0,0_1_0,1623
0,1,0,0_1_0,1810
0,0,0,0_0_0,1867
0,0,0,0_0_0,1111
0,1,0,0_1_0,2696
0,0,0,0_0_0,3283
0,1,0,0_1_0,1624
0,0,0,0_0_0,1286
0,0,0,0_0_0,1510
0,1,0,0_1_0,1394
0,0,0,0_0_0,1718
