label1,label2,label3,label,node
0,0,0,0_0_0,3144
0,1,0,0_1_0,1523
0,0,0,0_0_0,1896
0,0,0,0_0_0,2703
0,0,0,0_0_0,582
0,1,0,0_1_0,667
0,0,0,0_0_0,1319
0,0,0,0_0_0,66
0,0,0,0_0_0,2895
0,0,0,0_0_0,1603
0,1,0,0_1_0,2960
0,0,0,0_0_0,1770
0,0,0,0_0_0,717
0,0,0,0_0_0,2782
0,1,0,0_1_0,973
0,0,0,0_0_0,1462
0,1,0,0_1_0,2947
0,1,0,0_1_0,3169
0,0,0,0_0_0,254
0,0,0,0_0_0,2861
0,0,0,0_0_0,2309
0,1,0,0_1_0,2469
0,1,0,0_1_0,1707
0,1,0,0_1_0,3096
0,0,0,0_0_0,2925
0,0,0,0_0_0,2350
0,0,0,0_0_0,1894
0,1,0,0_1_0,369
0,0,0,0_0_0,292
0,0,0,0_0_0,1035
0,1,0,0_1_0,1289
0,1,0,0_1_0,589
0,1,0,0_1_0,3252
0,1,0,0_1_0,580
0,0,0,0_0_0,81
0,0,0,0_0_0,422
0,0,0,0_0_0,2976
0,0,0,0_0_0,955
0,1,0,0_1_0,3094
0,0,0,0_0_0,904
0,1,0,0_1_0,2099
0,1,0,0_1_0,3253
0,0,0,0_0_0,404
0,1,0,0_1_0,179
0,1,0,0_1_0,3205
0,1,0,0_1_0,2890
0,1,0,0_1_0,2539
0,0,0,0_0_0,1708
0,0,0,0_0_0,2414
0,0,0,0_0_0,1718
0,1,0,0_1_0,1192
0,0,0,0_0_0,2067
0,0,0,0_0_0,1867
0,0,0,0_0_0,2629
0,0,0,0_0_0,1119
0,0,0,0_0_0,438
0,0,0,0_0_0,2105
0,0,0,0_0_0,588
0,1,0,0_1_0,861
0,0,0,0_0_0,3107
0,0,0,0_0_0,3286
0,0,0,0_0_0,2366
0,1,0,0_1_0,1650
0,0,0,0_0_0,2790
0,1,0,0_1_0,426
0,1,0,0_1_0,459
0,1,0,0_1_0,3241
0,0,0,0_0_0,1117
0,0,0,0_0_0,1567
0,1,0,0_1_0,1456
0,0,0,0_0_0,1440
0,0,0,0_0_0,2911
0,0,0,0_0_0,2396
0,1,0,0_1_0,2129
0,1,0,0_1_0,35
0,1,0,0_1_0,2092
0,1,0,0_1_0,364
0,0,0,0_0_0,1410
0,1,0,0_1_0,1365
0,0,0,0_0_0,877
0,1,0,0_1_0,3268
0,0,0,0_0_0,2357
0,0,0,0_0_0,1155
0,1,0,0_1_0,3058
0,0,0,0_0_0,2259
0,1,0,0_1_0,1367
0,0,0,0_0_0,2874
0,1,0,0_1_0,1783
0,0,0,0_0_0,1264
0,0,0,0_0_0,3025
0,0,0,0_0_0,2984
0,0,0,0_0_0,1441
0,0,0,0_0_0,540
0,0,0,0_0_0,1167
0,0,0,0_0_0,1002
0,0,0,0_0_0,2494
0,1,0,0_1_0,1674
0,1,0,0_1_0,1537
0,0,0,0_0_0,1052
0,1,0,0_1_0,3320
0,0,0,0_0_0,1286
0,0,0,0_0_0,409
0,0,0,0_0_0,2732
0,0,0,0_0_0,2361
0,1,0,0_1_0,490
0,0,0,0_0_0,843
0,0,0,0_0_0,1165
0,0,0,0_0_0,661
0,0,0,0_0_0,2097
0,0,0,0_0_0,3224
0,1,0,0_1_0,1314
0,0,0,0_0_0,1023
0,1,0,0_1_0,1830
0,0,0,0_0_0,2334
0,1,0,0_1_0,2722
0,0,0,0_0_0,3017
0,1,0,0_1_0,1840
0,1,0,0_1_0,3059
0,0,0,0_0_0,1227
0,1,0,0_1_0,2500
0,0,0,0_0_0,1836
0,0,0,0_0_0,303
0,0,0,0_0_0,2404
0,1,0,0_1_0,337
0,1,0,0_1_0,1420
0,1,0,0_1_0,1497
0,1,0,0_1_0,45
0,1,0,0_1_0,1624
0,1,0,0_1_0,399
0,1,0,0_1_0,2201
0,0,0,0_0_0,2475
0,1,0,0_1_0,2256
0,0,0,0_0_0,1845
0,1,0,0_1_0,3165
0,0,0,0_0_0,1363
0,0,0,0_0_0,620
0,1,0,0_1_0,2406
0,0,0,0_0_0,2579
0,1,0,0_1_0,3097
0,0,0,0_0_0,2842
0,1,0,0_1_0,1810
0,0,0,0_0_0,2712
0,0,0,0_0_0,1021
0,1,0,0_1_0,2251
0,0,0,0_0_0,2166
