label1,label2,label3,label,node
0,1,0,0_1_0,1358
0,1,0,0_1_0,1810
0,1,0,0_1_0,310
0,1,0,0_1_0,1950
0,1,0,0_1_0,1042
0,1,0,0_1_0,1542
0,1,0,0_1_0,2248
0,1,0,0_1_0,2182
0,1,0,0_1_0,833
0,1,0,0_1_0,2246
0,1,0,0_1_0,1955
0,1,0,0_1_0,1558
0,0,0,0_0_0,986
0,1,0,0_1_0,1623
0,0,0,0_0_0,1024
0,1,0,0_1_0,735
0,1,0,0_1_0,1441
0,1,0,0_1_0,1445
0,1,0,0_1_0,458
0,1,0,0_1_0,1966
0,0,1,0_0_1,44
0,1,0,0_1_0,1577
0,1,0,0_1_0,2247
0,1,0,0_1_0,734
0,1,0,0_1_0,2518
0,1,0,0_1_0,368
0,1,0,0_1_0,1229
0,1,0,0_1_0,1684
0,1,0,0_1_0,2130
0,1,0,0_1_0,2146
0,1,0,0_1_0,909
0,1,0,0_1_0,1902
0,1,0,0_1_0,2541
0,1,0,0_1_0,1679
0,1,0,0_1_0,1185
0,1,1,0_1_1,507
0,1,0,0_1_0,411
0,1,0,0_1_0,1628
0,1,1,0_1_1,364
0,1,0,0_1_0,1135
0,1,0,0_1_0,1090
0,1,0,0_1_0,676
0,0,0,0_0_0,462
0,1,0,0_1_0,2245
0,1,0,0_1_0,1944
0,1,1,0_1_1,2065
0,1,0,0_1_0,2269
0,1,0,0_1_0,1147
0,1,0,0_1_0,2349
0,1,0,0_1_0,2250
0,1,0,0_1_0,472
0,1,0,0_1_0,1765
0,1,0,0_1_0,442
0,0,0,0_0_0,2633
0,1,0,0_1_0,2270
0,1,0,0_1_0,964
0,1,0,0_1_0,577
0,1,0,0_1_0,1132
0,1,0,0_1_0,109
0,1,0,0_1_0,177
0,1,0,0_1_0,739
0,0,0,0_0_0,1582
0,1,1,0_1_1,1103
0,1,1,0_1_1,1665
0,1,0,0_1_0,1469
0,1,0,0_1_0,1737
0,1,0,0_1_0,1171
0,1,0,0_1_0,370
0,1,0,0_1_0,2056
0,1,0,0_1_0,429
0,1,1,0_1_1,2045
0,1,0,0_1_0,2376
0,1,0,0_1_0,2501
0,1,0,0_1_0,2698
0,1,1,0_1_1,47
0,1,0,0_1_0,1740
0,1,0,0_1_0,218
0,1,0,0_1_0,1046
0,1,0,0_1_0,1015
0,1,0,0_1_0,327
0,1,0,0_1_0,582
0,1,0,0_1_0,1269
0,1,1,0_1_1,602
0,1,0,0_1_0,1488
0,1,0,0_1_0,33
0,1,0,0_1_0,918
0,0,0,0_0_0,2701
0,1,0,0_1_0,2339
0,1,0,0_1_0,91
0,1,0,0_1_0,1183
0,1,0,0_1_0,39
0,1,0,0_1_0,1191
0,1,0,0_1_0,2054
0,1,0,0_1_0,2398
0,1,0,0_1_0,1555
0,1,0,0_1_0,1092
0,1,0,0_1_0,1134
0,1,0,0_1_0,408
0,1,0,0_1_0,1226
0,1,0,0_1_0,107
0,1,0,0_1_0,1096
0,1,0,0_1_0,846
0,1,0,0_1_0,540
0,1,0,0_1_0,1996
0,1,1,0_1_1,567
0,1,0,0_1_0,1200
0,1,0,0_1_0,1863
0,1,0,0_1_0,232
0,1,0,0_1_0,1662
0,1,0,0_1_0,1382
0,1,0,0_1_0,534
0,1,0,0_1_0,1693
0,1,1,0_1_1,1122
0,1,0,0_1_0,1067
0,0,0,0_0_0,545
0,0,0,0_0_0,422
0,1,0,0_1_0,315
0,0,0,0_0_0,187
0,0,0,0_0_0,692
0,0,0,0_0_0,2629
0,1,0,0_1_0,1101
0,1,0,0_1_0,2564
0,1,0,0_1_0,549
0,1,0,0_1_0,1756
0,1,0,0_1_0,1958
0,1,0,0_1_0,392
0,1,0,0_1_0,807
0,1,0,0_1_0,1721
0,1,0,0_1_0,669
0,0,0,0_0_0,585
0,1,0,0_1_0,1000
0,1,0,0_1_0,998
0,1,0,0_1_0,1395
0,1,0,0_1_0,2601
0,1,0,0_1_0,1071
0,1,0,0_1_0,169
0,1,0,0_1_0,1442
0,1,1,0_1_1,726
0,1,1,0_1_1,1473
0,0,0,0_0_0,2659
0,0,0,0_0_0,967
0,1,1,0_1_1,1824
0,1,0,0_1_0,1023
0,0,1,0_0_1,898
0,1,0,0_1_0,350
0,1,0,0_1_0,1051
0,1,0,0_1_0,746
0,1,0,0_1_0,1896
0,1,0,0_1_0,580
0,1,0,0_1_0,1075
0,1,0,0_1_0,51
0,1,0,0_1_0,936
0,0,0,0_0_0,2676
0,1,1,0_1_1,111
0,1,1,0_1_1,2075
0,1,0,0_1_0,154
0,1,1,0_1_1,928
0,1,0,0_1_0,1795
0,1,0,0_1_0,1862
0,1,0,0_1_0,1354
0,1,0,0_1_0,893
0,1,0,0_1_0,1002
0,1,0,0_1_0,2448
0,1,0,0_1_0,2340
0,1,0,0_1_0,1068
0,1,0,0_1_0,1822
0,1,0,0_1_0,652
0,1,0,0_1_0,790
0,1,0,0_1_0,8
0,1,0,0_1_0,783
0,1,0,0_1_0,1615
0,0,1,0_0_1,2429
0,0,0,0_0_0,713
0,1,0,0_1_0,559
0,1,0,0_1_0,1279
0,1,0,0_1_0,650
0,1,0,0_1_0,2648
0,1,0,0_1_0,142
0,1,0,0_1_0,1904
0,1,0,0_1_0,2240
0,1,0,0_1_0,2120
0,1,0,0_1_0,764
0,1,0,0_1_0,620
0,1,0,0_1_0,264
0,1,0,0_1_0,2682
0,1,0,0_1_0,2148
0,1,0,0_1_0,441
0,1,1,0_1_1,1939
0,1,0,0_1_0,1168
0,1,0,0_1_0,1209
0,0,0,0_0_0,2669
0,1,0,0_1_0,2412
0,1,0,0_1_0,569
0,0,1,0_0_1,560
0,1,1,0_1_1,2168
0,1,0,0_1_0,933
0,1,0,0_1_0,2266
0,1,0,0_1_0,2338
0,1,1,0_1_1,487
0,1,1,0_1_1,139
0,1,0,0_1_0,2504
0,1,0,0_1_0,1013
0,1,0,0_1_0,65
0,0,0,0_0_0,2688
0,1,0,0_1_0,2220
0,1,0,0_1_0,1304
0,1,0,0_1_0,2219
0,1,1,0_1_1,251
0,1,0,0_1_0,2599
0,1,1,0_1_1,45
0,1,1,0_1_1,627
0,1,0,0_1_0,1383
0,1,0,0_1_0,358
0,1,0,0_1_0,1474
0,1,0,0_1_0,861
0,1,0,0_1_0,2221
0,1,0,0_1_0,2531
0,1,1,0_1_1,20
0,1,0,0_1_0,1129
0,1,0,0_1_0,1580
0,1,0,0_1_0,892
0,1,0,0_1_0,800
0,1,0,0_1_0,1534
0,1,0,0_1_0,1858
0,1,0,0_1_0,1347
0,1,0,0_1_0,1386
0,1,0,0_1_0,2610
0,1,0,0_1_0,189
0,1,0,0_1_0,405
0,1,0,0_1_0,1762
0,1,0,0_1_0,1449
0,1,0,0_1_0,971
0,1,1,0_1_1,1314
0,1,0,0_1_0,1117
0,1,0,0_1_0,1687
0,1,0,0_1_0,758
0,1,0,0_1_0,438
0,1,0,0_1_0,2463
0,1,0,0_1_0,732
0,0,0,0_0_0,2566
0,1,0,0_1_0,361
0,1,0,0_1_0,1302
0,1,0,0_1_0,1159
0,1,0,0_1_0,443
0,1,0,0_1_0,1731
0,1,0,0_1_0,670
0,1,0,0_1_0,1299
0,1,0,0_1_0,819
0,1,0,0_1_0,649
0,0,0,0_0_0,721
0,1,1,0_1_1,2466
0,1,0,0_1_0,470
0,1,0,0_1_0,888
0,1,0,0_1_0,2678
0,0,0,0_0_0,1600
0,1,0,0_1_0,2380
0,1,0,0_1_0,1176
0,0,0,0_0_0,954
0,1,0,0_1_0,1113
0,1,0,0_1_0,519
0,1,0,0_1_0,171
0,1,0,0_1_0,1035
0,1,0,0_1_0,956
0,1,0,0_1_0,588
0,0,1,0_0_1,832
0,1,0,0_1_0,282
0,1,1,0_1_1,160
0,1,0,0_1_0,1849
0,0,0,0_0_0,1835
0,1,0,0_1_0,238
0,1,0,0_1_0,2417
1,0,0,1_0_0,2672
1,0,0,1_0_0,172
1,0,1,1_0_1,624
1,0,0,1_0_0,1949
1,1,0,1_1_0,959
1,0,0,1_0_0,1250
1,0,0,1_0_0,1351
1,0,0,1_0_0,267
1,0,0,1_0_0,1627
1,0,0,1_0_0,1447
1,0,0,1_0_0,1532
1,0,0,1_0_0,1349
1,0,0,1_0_0,1367
1,0,0,1_0_0,2579
1,0,0,1_0_0,696
1,0,0,1_0_0,2651
1,0,0,1_0_0,1706
1,0,0,1_0_0,1199
1,0,0,1_0_0,2405
1,0,0,1_0_0,1062
1,0,0,1_0_0,1834
1,0,0,1_0_0,512
1,0,1,1_0_1,308
1,0,0,1_0_0,2040
1,0,0,1_0_0,1775
1,0,0,1_0_0,0
1,0,0,1_0_0,463
1,0,1,1_0_1,1177
1,0,0,1_0_0,1007
1,0,0,1_0_0,418
1,0,0,1_0_0,906
1,0,1,1_0_1,210
1,0,1,1_0_1,451
1,0,1,1_0_1,1509
1,0,0,1_0_0,158
1,0,0,1_0_0,491
