label1,label2,label3,label,node
0,0,0,0_0_0,1445
0,1,0,0_1_0,986
0,0,0,0_0_0,1209
0,0,0,0_0_0,919
0,0,0,0_0_0,1762
0,0,0,0_0_0,2398
0,0,0,0_0_0,1562
0,0,0,0_0_0,758
0,0,0,0_0_0,1737
0,0,0,0_0_0,1323
0,1,0,0_1_0,1582
0,0,0,0_0_0,1132
0,0,0,0_0_0,1615
0,0,0,0_0_0,764
0,0,0,0_0_0,1757
0,1,0,0_1_0,2633
0,0,0,0_0_0,1071
0,0,0,0_0_0,2065
0,0,0,0_0_0,418
0,0,0,0_0_0,1854
0,0,1,0_0_1,2245
0,0,0,0_0_0,2518
0,1,0,0_1_0,1024
0,0,0,0_0_0,1383
0,0,0,0_0_0,1122
0,0,0,0_0_0,2698
0,0,0,0_0_0,1299
0,1,0,0_1_0,1835
0,0,0,0_0_0,2248
0,0,0,0_0_0,1863
0,1,0,0_1_0,2701
0,0,0,0_0_0,1075
0,0,0,0_0_0,646
0,0,0,0_0_0,1756
0,0,0,0_0_0,1123
0,1,1,0_1_1,44
0,1,0,0_1_0,898
0,0,0,0_0_0,534
0,0,1,0_0_1,1731
0,0,0,0_0_0,1135
0,0,0,0_0_0,90
0,0,0,0_0_0,602
0,0,0,0_0_0,1684
0,0,0,0_0_0,370
0,0,0,0_0_0,1302
0,0,1,0_0_1,47
0,0,0,0_0_0,744
0,0,0,0_0_0,2672
0,0,0,0_0_0,2362
0,0,0,0_0_0,2651
0,0,0,0_0_0,918
0,0,0,0_0_0,2678
0,0,0,0_0_0,235
0,0,0,0_0_0,936
0,0,0,0_0_0,1067
0,0,0,0_0_0,2246
0,0,0,0_0_0,1822
0,0,0,0_0_0,238
0,0,0,0_0_0,1679
0,0,0,0_0_0,1134
0,0,0,0_0_0,1509
0,0,0,0_0_0,1721
0,0,1,0_0_1,232
0,0,1,0_0_1,1358
0,0,0,0_0_0,676
0,0,0,0_0_0,1382
0,0,0,0_0_0,567
0,0,0,0_0_0,1229
0,0,0,0_0_0,1168
0,0,0,0_0_0,909
0,0,1,0_0_1,1950
0,0,0,0_0_0,807
0,0,0,0_0_0,686
0,0,0,0_0_0,1760
0,0,1,0_0_1,933
0,0,0,0_0_0,819
0,0,0,0_0_0,1090
0,0,0,0_0_0,547
0,0,0,0_0_0,1904
0,0,0,0_0_0,1765
0,0,0,0_0_0,1226
0,0,0,0_0_0,684
0,0,1,0_0_1,2448
0,0,0,0_0_0,364
0,0,0,0_0_0,768
0,0,0,0_0_0,358
0,1,0,0_1_0,692
0,0,0,0_0_0,1662
0,0,0,0_0_0,652
0,0,0,0_0_0,549
0,0,0,0_0_0,2541
0,0,0,0_0_0,1955
0,0,0,0_0_0,8
0,0,0,0_0_0,892
0,0,0,0_0_0,2269
0,0,0,0_0_0,559
0,0,0,0_0_0,580
0,0,0,0_0_0,1046
0,0,0,0_0_0,1853
0,1,0,0_1_0,187
0,0,0,0_0_0,800
0,0,0,0_0_0,726
0,0,0,0_0_0,1727
0,0,0,0_0_0,1092
0,0,1,0_0_1,902
0,1,0,0_1_0,721
0,0,0,0_0_0,1766
0,0,0,0_0_0,458
0,0,0,0_0_0,2536
0,1,0,0_1_0,2629
0,0,0,0_0_0,533
0,0,0,0_0_0,2396
0,0,1,0_0_1,368
0,0,0,0_0_0,2531
0,0,0,0_0_0,72
0,0,0,0_0_0,627
0,0,0,0_0_0,688
0,0,0,0_0_0,223
0,0,0,0_0_0,1627
0,0,0,0_0_0,1875
0,0,0,0_0_0,732
0,0,0,0_0_0,111
0,0,0,0_0_0,669
0,0,0,0_0_0,177
0,0,0,0_0_0,1473
0,0,0,0_0_0,754
0,0,0,0_0_0,341
0,0,0,0_0_0,310
0,0,0,0_0_0,846
0,0,0,0_0_0,1577
0,0,0,0_0_0,2587
0,1,0,0_1_0,462
0,0,0,0_0_0,650
0,0,0,0_0_0,408
0,0,0,0_0_0,569
0,0,0,0_0_0,2271
0,0,0,0_0_0,1665
0,0,1,0_0_1,2376
0,0,1,0_0_1,1751
0,0,0,0_0_0,2682
0,0,0,0_0_0,1007
0,0,1,0_0_1,189
0,0,0,0_0_0,1888
0,0,1,0_0_1,1902
0,0,0,0_0_0,442
0,0,0,0_0_0,1706
0,0,0,0_0_0,216
0,0,0,0_0_0,1944
0,0,0,0_0_0,411
0,0,0,0_0_0,2460
0,0,0,0_0_0,169
0,0,0,0_0_0,823
0,0,0,0_0_0,923
0,0,1,0_0_1,746
0,0,1,0_0_1,1746
0,0,0,0_0_0,2501
0,0,1,0_0_1,315
0,0,0,0_0_0,1314
0,0,0,0_0_0,2270
0,0,0,0_0_0,1185
0,0,0,0_0_0,1820
0,0,0,0_0_0,2247
0,1,0,0_1_0,2454
0,0,0,0_0_0,1155
0,0,0,0_0_0,2366
0,0,0,0_0_0,154
0,0,0,0_0_0,1949
0,0,0,0_0_0,2221
0,0,0,0_0_0,2525
0,0,0,0_0_0,2220
0,0,0,0_0_0,783
0,0,1,0_0_1,2250
0,0,0,0_0_0,1687
0,0,0,0_0_0,1085
0,0,0,0_0_0,1876
0,0,0,0_0_0,491
0,0,0,0_0_0,107
0,0,0,0_0_0,1191
0,0,0,0_0_0,1023
0,0,0,0_0_0,735
0,0,0,0_0_0,2349
0,0,0,0_0_0,956
0,0,0,0_0_0,582
0,0,0,0_0_0,2146
0,0,0,0_0_0,2380
0,0,0,0_0_0,1103
0,0,0,0_0_0,393
0,0,1,0_0_1,291
0,0,0,0_0_0,1033
0,0,0,0_0_0,1619
0,0,0,0_0_0,1347
0,0,0,0_0_0,2466
0,0,0,0_0_0,2638
0,0,1,0_0_1,1858
0,0,1,0_0_1,1279
0,0,0,0_0_0,2338
0,0,0,0_0_0,2504
0,0,0,0_0_0,1429
0,0,1,0_0_1,470
0,0,1,0_0_1,336
0,0,0,0_0_0,1042
0,0,0,0_0_0,1469
0,0,0,0_0_0,351
0,0,0,0_0_0,1200
0,0,0,0_0_0,1214
0,0,0,0_0_0,1823
0,0,0,0_0_0,1402
0,0,1,0_0_1,1718
0,0,0,0_0_0,1580
0,0,1,0_0_1,1082
0,0,1,0_0_1,1141
0,0,0,0_0_0,739
0,0,0,0_0_0,361
0,0,0,0_0_0,1534
0,0,0,0_0_0,2284
0,0,0,0_0_0,1576
0,0,0,0_0_0,91
0,0,1,0_0_1,158
0,1,0,0_1_0,2669
0,0,0,0_0_0,971
0,0,0,0_0_0,392
0,0,0,0_0_0,998
0,0,0,0_0_0,451
0,0,0,0_0_0,1474
0,0,0,0_0_0,233
0,0,0,0_0_0,2523
0,0,0,0_0_0,1051
0,0,0,0_0_0,1449
0,0,0,0_0_0,1532
0,0,0,0_0_0,1817
0,0,0,0_0_0,1676
0,0,0,0_0_0,828
0,0,1,0_0_1,2589
0,0,0,0_0_0,2340
0,0,0,0_0_0,2182
0,0,0,0_0_0,1810
0,0,0,0_0_0,624
0,0,0,0_0_0,262
0,0,0,0_0_0,1849
0,1,0,0_1_0,967
0,0,0,0_0_0,2592
0,0,0,0_0_0,1966
0,0,0,0_0_0,1883
0,0,0,0_0_0,405
0,0,0,0_0_0,1147
0,0,0,0_0_0,1145
0,0,0,0_0_0,1391
0,1,0,0_1_0,2659
0,0,0,0_0_0,588
0,0,0,0_0_0,1555
0,0,1,0_0_1,1002
0,0,0,0_0_0,160
0,0,0,0_0_0,1161
0,0,0,0_0_0,188
0,0,0,0_0_0,2463
0,0,0,0_0_0,251
0,0,0,0_0_0,360
0,0,0,0_0_0,2608
0,0,0,0_0_0,2402
0,0,0,0_0_0,2036
0,0,0,0_0_0,893
0,0,0,0_0_0,2456
0,0,0,0_0_0,1674
0,0,0,0_0_0,1261
0,0,1,0_0_1,1113
0,0,0,0_0_0,2628
0,1,1,0_1_1,1476
0,0,0,0_0_0,1189
0,0,0,0_0_0,1814
0,0,0,0_0_0,1395
0,0,0,0_0_0,1877
1,1,0,1_1_0,1795
1,1,0,1_1_0,2183
1,1,1,1_1_1,2056
1,1,0,1_1_0,296
1,1,0,1_1_0,964
1,1,0,1_1_0,430
1,1,0,1_1_0,2528
1,1,0,1_1_0,2599
1,1,0,1_1_0,906
1,1,0,1_1_0,2399
1,1,0,1_1_0,2571
1,1,0,1_1_0,1171
1,1,0,1_1_0,1896
1,1,0,1_1_0,649
1,0,0,1_0_0,1407
1,1,0,1_1_0,2311
1,1,0,1_1_0,928
1,1,0,1_1_0,1447
1,1,0,1_1_0,327
1,1,0,1_1_0,2412
1,1,0,1_1_0,1680
1,0,0,1_0_0,2566
1,1,1,1_1_1,620
1,1,0,1_1_0,2339
1,1,0,1_1_0,1199
1,1,0,1_1_0,1996
1,1,0,1_1_0,2073
1,1,1,1_1_1,1177
1,1,0,1_1_0,301
1,1,0,1_1_0,1830
1,1,0,1_1_0,1558
1,1,1,1_1_1,2266
1,1,1,1_1_1,264
1,1,1,1_1_1,142
1,1,0,1_1_0,1971
1,1,0,1_1_0,858
1,0,0,1_0_0,422
1,1,0,1_1_0,540
1,1,0,1_1_0,1404
1,1,1,1_1_1,2054
1,1,0,1_1_0,2601
1,0,0,1_0_0,213
1,1,0,1_1_0,1176
1,1,0,1_1_0,1035
1,0,1,1_0_1,108
1,1,0,1_1_0,413
1,1,0,1_1_0,1057
1,1,0,1_1_0,1000
1,1,0,1_1_0,833
1,1,0,1_1_0,1150
1,1,0,1_1_0,282
1,0,0,1_0_0,713
1,1,0,1_1_0,790
1,1,0,1_1_0,1539
1,1,0,1_1_0,2317
1,1,1,1_1_1,39
1,1,1,1_1_1,2610
1,0,0,1_0_0,585
1,1,0,1_1_0,1354
1,1,0,1_1_0,1139
1,1,0,1_1_0,1062
1,1,0,1_1_0,942
1,1,0,1_1_0,472
1,1,1,1_1_1,1250
1,1,0,1_1_0,716
1,1,0,1_1_0,1096
1,1,0,1_1_0,861
1,1,0,1_1_0,2219
1,1,0,1_1_0,1101
1,1,0,1_1_0,2148
1,1,0,1_1_0,179
1,1,0,1_1_0,1381
1,1,0,1_1_0,1859
1,1,1,1_1_1,2417
1,1,0,1_1_0,1183
1,1,0,1_1_0,2315
1,0,0,1_0_0,2676
1,1,0,1_1_0,2240
1,1,1,1_1_1,1019
1,1,0,1_1_0,1068
1,1,0,1_1_0,335
1,1,0,1_1_0,2654
1,1,0,1_1_0,2120
1,1,0,1_1_0,2481
1,1,1,1_1_1,2130
1,1,0,1_1_0,1386
1,0,0,1_0_0,144
1,1,0,1_1_0,1775
1,1,0,1_1_0,20
1,1,0,1_1_0,2576
1,1,0,1_1_0,1542
1,1,0,1_1_0,14
1,1,0,1_1_0,2527
1,1,0,1_1_0,1939
1,1,0,1_1_0,1540
1,1,1,1_1_1,1931
1,1,0,1_1_0,1159
1,0,0,1_0_0,84
1,1,0,1_1_0,2352
1,1,0,1_1_0,139
1,1,0,1_1_0,1694
1,0,0,1_0_0,1593
1,1,0,1_1_0,694
1,1,0,1_1_0,443
1,1,0,1_1_0,1269
1,1,0,1_1_0,1442
1,1,0,1_1_0,1207
1,1,0,1_1_0,1693
1,1,0,1_1_0,1780
1,1,0,1_1_0,2564
1,1,0,1_1_0,35
1,1,0,1_1_0,1740
1,1,0,1_1_0,218
1,1,1,1_1_1,2559
1,0,0,1_0_0,2688
1,1,0,1_1_0,308
1,1,0,1_1_0,1852
1,1,0,1_1_0,1895
1,0,0,1_0_0,954
1,1,0,1_1_0,267
1,1,0,1_1_0,1969
1,1,0,1_1_0,734
1,1,0,1_1_0,1640
1,1,0,1_1_0,2648
1,1,0,1_1_0,2591
1,1,0,1_1_0,1813
1,1,0,1_1_0,2287
1,1,0,1_1_0,1862
1,1,0,1_1_0,507
1,0,0,1_0_0,307
1,1,0,1_1_0,955
1,1,0,1_1_0,1193
1,1,0,1_1_0,2217
1,0,0,1_0_0,545
1,1,0,1_1_0,487
1,1,0,1_1_0,1304
1,1,0,1_1_0,2521
1,1,0,1_1_0,740
1,1,0,1_1_0,286
1,1,0,1_1_0,1651
1,1,1,1_1_1,838
1,1,0,1_1_0,2507
1,1,0,1_1_0,2552
1,1,0,1_1_0,2656
1,1,0,1_1_0,1488
1,1,0,1_1_0,1117
1,1,0,1_1_0,1524
1,1,1,1_1_1,601
1,1,0,1_1_0,1118
1,1,0,1_1_0,33
1,0,0,1_0_0,947
1,1,0,1_1_0,51
1,1,0,1_1_0,2283
1,1,0,1_1_0,87
1,1,0,1_1_0,1136
1,1,0,1_1_0,2046
1,1,0,1_1_0,45
1,1,0,1_1_0,1220
1,0,0,1_0_0,1600
1,1,0,1_1_0,2273
1,1,0,1_1_0,907
1,1,1,1_1_1,2611
1,1,0,1_1_0,1958
1,1,0,1_1_0,1342
1,1,0,1_1_0,2106
1,1,0,1_1_0,2381
1,1,0,1_1_0,1487
1,1,0,1_1_0,575
1,1,0,1_1_0,2168
1,1,1,1_1_1,2607
