label1,label2,label3,label,node
0,0,0,0_0_0,16076
0,0,0,0_0_0,18130
0,0,0,0_0_0,12841
0,0,0,0_0_0,758
0,1,0,0_1_0,13685
0,0,0,0_0_0,6943
0,0,0,0_0_0,13072
0,0,0,0_0_0,15368
0,1,0,0_1_0,13043
0,0,0,0_0_0,6668
0,0,0,0_0_0,5620
0,0,0,0_0_0,16145
0,1,0,0_1_0,19710
0,0,0,0_0_0,2879
0,0,0,0_0_0,14942
0,1,0,0_1_0,15567
0,1,0,0_1_0,8209
0,0,0,0_0_0,19457
0,1,0,0_1_0,12043
0,0,0,0_0_0,10989
0,0,0,0_0_0,15447
0,1,0,0_1_0,4229
0,0,0,0_0_0,387
0,0,0,0_0_0,4596
0,0,0,0_0_0,15514
0,1,0,0_1_0,10325
0,0,0,0_0_0,10597
0,0,0,0_0_0,4550
0,0,0,0_0_0,2164
0,0,0,0_0_0,16394
0,1,0,0_1_0,15127
0,0,0,0_0_0,17560
0,1,0,0_1_0,10799
0,1,0,0_1_0,6075
0,0,0,0_0_0,8592
0,1,0,0_1_0,14422
0,0,0,0_0_0,6823
0,0,0,0_0_0,15317
0,0,0,0_0_0,11198
0,0,0,0_0_0,8379
0,0,0,0_0_0,6777
0,0,0,0_0_0,15934
0,1,0,0_1_0,14283
0,1,0,0_1_0,19354
0,0,0,0_0_0,9457
0,0,0,0_0_0,8010
0,0,0,0_0_0,13585
0,0,0,0_0_0,6523
0,0,0,0_0_0,6430
0,0,0,0_0_0,6009
0,1,0,0_1_0,14733
0,0,0,0_0_0,2152
0,0,0,0_0_0,18561
0,1,0,0_1_0,15704
0,0,0,0_0_0,11996
0,0,0,0_0_0,5101
0,0,0,0_0_0,17700
0,0,0,0_0_0,17158
0,1,0,0_1_0,13385
0,0,0,0_0_0,17305
0,0,0,0_0_0,14918
0,1,0,0_1_0,17317
0,0,0,0_0_0,19141
0,0,0,0_0_0,14161
0,0,0,0_0_0,348
0,0,0,0_0_0,9506
0,0,0,0_0_0,2354
0,0,0,0_0_0,10871
0,1,0,0_1_0,1837
0,0,0,0_0_0,12872
0,0,0,0_0_0,2350
0,0,0,0_0_0,10362
0,0,0,0_0_0,2808
0,0,0,0_0_0,5646
0,0,0,0_0_0,1634
0,0,0,0_0_0,16594
0,0,0,0_0_0,12858
0,0,0,0_0_0,3514
0,0,0,0_0_0,16393
0,0,0,0_0_0,3974
0,0,0,0_0_0,8725
0,1,0,0_1_0,2629
0,1,0,0_1_0,8840
0,1,0,0_1_0,1775
0,0,0,0_0_0,12916
0,1,0,0_1_0,18352
0,0,0,0_0_0,7779
0,0,0,0_0_0,18721
0,0,0,0_0_0,19384
0,1,0,0_1_0,6729
0,1,0,0_1_0,9967
0,0,0,0_0_0,7955
0,0,0,0_0_0,1232
0,0,0,0_0_0,12057
0,0,0,0_0_0,209
0,0,0,0_0_0,18872
0,0,0,0_0_0,9036
0,0,0,0_0_0,6965
0,0,0,0_0_0,2768
0,0,0,0_0_0,14990
0,0,0,0_0_0,4183
0,0,0,0_0_0,3999
0,1,0,0_1_0,260
0,1,0,0_1_0,2703
0,1,0,0_1_0,17576
0,0,0,0_0_0,780
0,0,0,0_0_0,14132
0,0,0,0_0_0,2259
0,1,0,0_1_0,13596
0,0,0,0_0_0,12404
0,1,0,0_1_0,9194
0,0,0,0_0_0,862
0,0,0,0_0_0,5275
0,0,0,0_0_0,13202
0,1,0,0_1_0,18639
0,1,0,0_1_0,6567
0,0,0,0_0_0,17381
0,1,0,0_1_0,7021
0,0,0,0_0_0,5130
0,0,0,0_0_0,1284
0,1,0,0_1_0,12673
0,0,0,0_0_0,15000
0,0,0,0_0_0,9949
0,0,0,0_0_0,10725
0,1,0,0_1_0,3854
0,0,0,0_0_0,1917
0,0,0,0_0_0,3693
0,0,0,0_0_0,15032
0,1,0,0_1_0,7574
0,0,0,0_0_0,13878
0,0,0,0_0_0,6761
0,0,0,0_0_0,2476
0,0,0,0_0_0,12820
0,1,0,0_1_0,3710
0,1,0,0_1_0,7294
0,0,0,0_0_0,17107
0,0,0,0_0_0,5857
0,0,0,0_0_0,13097
0,1,0,0_1_0,226
0,0,0,0_0_0,5714
0,0,0,0_0_0,14845
0,0,0,0_0_0,14739
0,1,0,0_1_0,12807
0,0,0,0_0_0,16632
0,0,0,0_0_0,349
0,1,0,0_1_0,6279
0,1,0,0_1_0,6437
0,0,0,0_0_0,11599
0,1,0,0_1_0,18212
0,0,0,0_0_0,2396
0,1,0,0_1_0,9674
0,0,0,0_0_0,8186
0,0,0,0_0_0,6779
0,1,0,0_1_0,3827
0,1,0,0_1_0,11808
0,0,0,0_0_0,15310
0,0,0,0_0_0,10180
0,1,0,0_1_0,18422
0,0,0,0_0_0,1997
0,1,0,0_1_0,13185
0,0,0,0_0_0,9854
0,0,0,0_0_0,3230
0,0,0,0_0_0,75
0,1,0,0_1_0,4948
0,0,0,0_0_0,13334
0,0,0,0_0_0,4753
0,1,0,0_1_0,12562
0,1,0,0_1_0,5611
0,0,0,0_0_0,18215
0,0,0,0_0_0,3430
0,0,0,0_0_0,9594
0,1,0,0_1_0,17080
0,1,0,0_1_0,16698
0,0,0,0_0_0,15469
0,0,0,0_0_0,4493
0,1,0,0_1_0,9240
0,1,0,0_1_0,5112
0,0,0,0_0_0,2569
0,1,0,0_1_0,13326
0,0,0,0_0_0,12941
0,0,0,0_0_0,1667
0,0,0,0_0_0,3555
0,0,0,0_0_0,15451
0,1,0,0_1_0,13562
0,0,0,0_0_0,2596
0,0,0,0_0_0,15939
0,1,0,0_1_0,9103
0,0,0,0_0_0,1867
0,0,0,0_0_0,8654
0,0,0,0_0_0,16962
0,0,0,0_0_0,16005
0,0,0,0_0_0,362
0,0,0,0_0_0,1571
0,1,0,0_1_0,11097
0,0,0,0_0_0,14204
0,0,0,0_0_0,5522
0,0,0,0_0_0,6839
0,0,0,0_0_0,3698
0,0,0,0_0_0,8173
0,0,0,0_0_0,7290
0,1,0,0_1_0,14162
0,0,0,0_0_0,13035
0,0,0,0_0_0,15963
0,0,0,0_0_0,6055
0,0,0,0_0_0,12727
0,0,0,0_0_0,19058
0,0,0,0_0_0,2709
0,0,0,0_0_0,2219
0,1,0,0_1_0,12545
0,0,0,0_0_0,4444
0,0,0,0_0_0,17118
0,0,0,0_0_0,6517
0,0,0,0_0_0,288
0,0,0,0_0_0,990
0,0,0,0_0_0,2440
0,0,0,0_0_0,10956
0,0,0,0_0_0,12938
0,0,0,0_0_0,7567
0,0,0,0_0_0,4441
0,0,0,0_0_0,19331
0,0,0,0_0_0,10294
0,0,0,0_0_0,19009
0,1,0,0_1_0,6772
0,0,0,0_0_0,4236
0,0,0,0_0_0,6554
0,0,0,0_0_0,2517
0,0,0,0_0_0,6282
0,0,0,0_0_0,6087
0,0,0,0_0_0,18523
0,0,0,0_0_0,16809
0,1,0,0_1_0,11773
0,0,0,0_0_0,12291
0,0,0,0_0_0,18856
0,1,0,0_1_0,4468
0,0,0,0_0_0,13237
0,0,0,0_0_0,15904
