label1,label2,label3,label,node
0,0,0,0_0_0,1795
0,1,0,0_1_0,264
0,1,0,0_1_0,1267
0,0,0,0_0_0,928
0,1,0,0_1_0,299
0,1,0,0_1_0,1057
0,0,0,0_0_0,737
0,1,0,0_1_0,1134
0,0,0,0_0_0,2499
0,0,0,0_0_0,2219
0,0,0,0_0_0,2235
0,1,0,0_1_0,2093
0,1,0,0_1_0,1888
0,0,0,0_0_0,91
0,1,0,0_1_0,1425
0,1,0,0_1_0,919
0,0,0,0_0_0,1629
0,0,0,0_0_0,1340
0,0,0,0_0_0,273
0,0,0,0_0_0,798
0,0,0,0_0_0,3207
0,1,0,0_1_0,2658
0,0,0,0_0_0,2328
0,0,0,0_0_0,1880
0,0,0,0_0_0,2636
0,0,0,0_0_0,1041
0,0,0,0_0_0,3052
0,1,0,0_1_0,1528
0,0,0,0_0_0,1473
0,1,0,0_1_0,636
0,1,0,0_1_0,3258
0,1,0,0_1_0,710
0,0,0,0_0_0,2283
0,0,0,0_0_0,979
0,0,0,0_0_0,3326
0,0,0,0_0_0,1220
0,1,0,0_1_0,108
0,1,0,0_1_0,845
0,0,0,0_0_0,822
0,0,0,0_0_0,31
0,0,0,0_0_0,2680
0,0,0,0_0_0,236
0,0,0,0_0_0,3275
0,0,0,0_0_0,1844
0,0,0,0_0_0,2741
0,0,0,0_0_0,2574
0,0,0,0_0_0,1466
0,0,0,0_0_0,1701
0,0,0,0_0_0,2855
0,0,0,0_0_0,1812
0,0,0,0_0_0,151
0,0,0,0_0_0,768
0,0,0,0_0_0,2598
0,1,0,0_1_0,248
0,0,0,0_0_0,2944
0,0,0,0_0_0,2674
0,1,0,0_1_0,1208
0,1,0,0_1_0,1767
0,0,0,0_0_0,1654
0,0,0,0_0_0,2505
0,1,0,0_1_0,951
0,0,0,0_0_0,1302
0,0,0,0_0_0,90
0,0,0,0_0_0,2586
0,0,0,0_0_0,950
0,1,0,0_1_0,360
0,1,0,0_1_0,477
