label1,label2,label3,label,node
0,1,0,0_1_0,192
0,1,0,0_1_0,1270
0,0,0,0_0_0,3052
0,1,0,0_1_0,2600
0,1,0,0_1_0,1888
0,0,0,0_0_0,2235
0,1,0,0_1_0,1937
0,0,0,0_0_0,737
0,1,0,0_1_0,601
0,0,0,0_0_0,273
0,1,0,0_1_0,2131
0,1,0,0_1_0,2194
0,0,0,0_0_0,2328
0,0,0,0_0_0,2811
0,0,0,0_0_0,780
0,0,0,0_0_0,1856
0,0,0,0_0_0,2535
0,0,0,0_0_0,2769
0,1,0,0_1_0,1166
0,1,0,0_1_0,2049
0,0,0,0_0_0,255
0,1,0,0_1_0,892
0,0,0,0_0_0,1393
0,0,0,0_0_0,2645
0,0,0,0_0_0,669
0,0,0,0_0_0,2162
0,0,0,0_0_0,723
0,1,0,0_1_0,477
0,1,0,0_1_0,1632
0,1,0,0_1_0,2093
0,0,0,0_0_0,2776
0,0,0,0_0_0,641
0,0,0,0_0_0,2574
0,0,0,0_0_0,822
0,0,0,0_0_0,2680
0,0,0,0_0_0,236
0,0,0,0_0_0,2499
0,0,0,0_0_0,1880
0,0,0,0_0_0,3326
0,0,0,0_0_0,2304
0,0,0,0_0_0,3227
0,0,0,0_0_0,2855
0,0,0,0_0_0,1844
0,0,0,0_0_0,65
0,0,0,0_0_0,1795
0,0,0,0_0_0,1469
0,1,0,0_1_0,296
0,1,0,0_1_0,1425
0,1,0,0_1_0,1374
0,0,0,0_0_0,2219
0,1,0,0_1_0,919
0,1,0,0_1_0,951
0,0,0,0_0_0,2827
0,0,0,0_0_0,2711
0,0,0,0_0_0,713
0,0,0,0_0_0,274
0,0,0,0_0_0,1132
0,0,0,0_0_0,2184
0,0,0,0_0_0,860
0,1,0,0_1_0,109
0,1,0,0_1_0,1024
0,0,0,0_0_0,3054
0,0,0,0_0_0,1043
0,0,0,0_0_0,31
0,0,0,0_0_0,1466
0,0,0,0_0_0,2586
0,0,0,0_0_0,91
0,1,0,0_1_0,111
0,0,0,0_0_0,2283
0,0,0,0_0_0,1302
0,0,0,0_0_0,1418
0,1,0,0_1_0,1528
0,0,0,0_0_0,350
0,0,0,0_0_0,230
0,0,0,0_0_0,1570
0,1,0,0_1_0,3082
0,1,0,0_1_0,461
0,0,0,0_0_0,2002
0,1,0,0_1_0,2532
0,1,0,0_1_0,2834
0,0,0,0_0_0,1701
0,0,0,0_0_0,1288
0,0,0,0_0_0,2771
0,1,0,0_1_0,2986
0,1,0,0_1_0,360
0,0,0,0_0_0,2400
0,0,0,0_0_0,2729
0,1,0,0_1_0,1283
0,0,0,0_0_0,2489
0,1,0,0_1_0,2753
0,1,0,0_1_0,2659
0,1,0,0_1_0,1267
0,1,0,0_1_0,3229
0,0,0,0_0_0,1694
0,0,0,0_0_0,191
0,0,0,0_0_0,1185
0,1,0,0_1_0,1893
0,1,0,0_1_0,1465
0,0,0,0_0_0,3134
0,1,0,0_1_0,251
0,0,0,0_0_0,1340
0,0,0,0_0_0,2547
0,0,0,0_0_0,104
0,1,0,0_1_0,2658
0,0,0,0_0_0,1587
0,1,0,0_1_0,1174
0,1,0,0_1_0,2985
0,1,0,0_1_0,636
0,0,0,0_0_0,686
0,1,0,0_1_0,248
0,1,0,0_1_0,759
0,0,0,0_0_0,768
0,0,0,0_0_0,2506
0,0,0,0_0_0,2741
0,0,0,0_0_0,388
0,0,0,0_0_0,692
0,0,0,0_0_0,151
0,0,0,0_0_0,2598
0,1,0,0_1_0,513
0,0,0,0_0_0,1097
0,0,0,0_0_0,798
0,1,0,0_1_0,3085
0,0,0,0_0_0,3202
0,0,0,0_0_0,1654
0,0,0,0_0_0,928
0,0,0,0_0_0,1968
0,1,0,0_1_0,1957
0,0,0,0_0_0,1558
0,0,0,0_0_0,450
0,0,0,0_0_0,3275
0,1,0,0_1_0,225
0,0,0,0_0_0,2661
0,0,0,0_0_0,2674
0,1,0,0_1_0,3115
0,0,0,0_0_0,2862
0,0,0,0_0_0,2632
0,1,0,0_1_0,470
0,0,0,0_0_0,3207
0,0,0,0_0_0,2830
0,0,0,0_0_0,2739
0,0,0,0_0_0,2322
0,0,0,0_0_0,1629
0,0,0,0_0_0,824
0,0,0,0_0_0,2082
0,0,0,0_0_0,1218
0,0,0,0_0_0,1041
0,1,0,0_1_0,710
0,0,0,0_0_0,1890
0,1,0,0_1_0,233
0,1,0,0_1_0,888
0,0,0,0_0_0,1961
0,0,0,0_0_0,749
0,1,0,0_1_0,838
0,1,0,0_1_0,2969
0,0,0,0_0_0,1727
0,0,0,0_0_0,2505
0,1,0,0_1_0,2145
0,0,0,0_0_0,2483
0,1,0,0_1_0,141
0,0,0,0_0_0,2032
0,1,0,0_1_0,1092
0,1,0,0_1_0,3322
0,0,0,0_0_0,2001
0,0,0,0_0_0,878
0,0,0,0_0_0,2128
0,0,0,0_0_0,2556
0,0,0,0_0_0,1997
0,1,0,0_1_0,1491
0,0,0,0_0_0,2147
0,0,0,0_0_0,69
0,0,0,0_0_0,1861
0,0,0,0_0_0,154
0,0,0,0_0_0,3028
0,0,0,0_0_0,2657
0,1,0,0_1_0,1994
0,0,0,0_0_0,2636
0,0,0,0_0_0,2720
0,0,0,0_0_0,2932
0,1,0,0_1_0,3140
0,1,0,0_1_0,1269
0,1,0,0_1_0,1931
0,1,0,0_1_0,866
0,0,0,0_0_0,405
0,1,0,0_1_0,2446
0,0,0,0_0_0,734
0,0,0,0_0_0,20
0,1,0,0_1_0,1962
0,1,0,0_1_0,2808
0,0,0,0_0_0,169
0,0,0,0_0_0,2587
0,1,0,0_1_0,3185
0,0,0,0_0_0,1868
0,1,0,0_1_0,2795
0,0,0,0_0_0,2370
0,0,0,0_0_0,1141
0,1,0,0_1_0,1700
0,0,0,0_0_0,1202
0,0,0,0_0_0,859
0,0,0,0_0_0,559
0,0,0,0_0_0,532
0,0,0,0_0_0,48
0,0,0,0_0_0,90
0,0,0,0_0_0,1215
