label1,label2,label3,label,node
0,0,0,0_0_0,1682
0,1,0,0_1_0,2173
0,0,0,0_0_0,1920
0,0,0,0_0_0,2309
0,0,0,0_0_0,414
0,0,0,0_0_0,695
0,0,0,0_0_0,973
0,0,0,0_0_0,1929
0,1,0,0_1_0,2255
0,1,0,0_1_0,225
0,1,0,0_1_0,939
0,0,0,0_0_0,854
0,0,0,0_0_0,2031
0,0,0,0_0_0,407
0,0,0,0_0_0,2015
0,0,0,0_0_0,2257
0,0,0,0_0_0,2102
0,0,0,0_0_0,995
0,0,0,0_0_0,1338
0,0,0,0_0_0,2097
0,0,1,0_0_1,1909
0,0,0,0_0_0,878
0,0,0,0_0_0,621
0,0,0,0_0_0,210
0,0,0,0_0_0,1131
0,0,0,0_0_0,2312
0,0,0,0_0_0,1268
0,0,0,0_0_0,1248
0,0,0,0_0_0,2099
0,0,0,0_0_0,79
0,0,0,0_0_0,1976
0,0,0,0_0_0,2027
0,0,0,0_0_0,162
0,0,0,0_0_0,1666
0,0,0,0_0_0,2023
0,0,1,0_0_1,1635
0,0,0,0_0_0,794
0,0,0,0_0_0,1319
0,0,1,0_0_1,1797
0,0,0,0_0_0,523
0,0,0,0_0_0,651
0,0,0,0_0_0,1916
0,0,0,0_0_0,69
0,0,0,0_0_0,1921
0,1,0,0_1_0,2174
0,0,1,0_0_1,191
0,0,0,0_0_0,870
0,0,0,0_0_0,61
0,0,0,0_0_0,1912
0,0,0,0_0_0,791
0,0,0,0_0_0,2293
0,0,0,0_0_0,1587
0,0,0,0_0_0,1907
0,1,0,0_1_0,369
0,0,0,0_0_0,822
0,0,0,0_0_0,2035
0,0,0,0_0_0,2030
0,0,0,0_0_0,1174
0,0,0,0_0_0,1119
0,0,0,0_0_0,2151
0,0,0,0_0_0,2689
0,0,0,0_0_0,1013
0,0,1,0_0_1,2404
0,0,1,0_0_1,2680
0,0,0,0_0_0,699
0,0,0,0_0_0,1244
0,0,0,0_0_0,2282
0,0,0,0_0_0,1004
0,0,0,0_0_0,1652
