label1,label2,label3,label,node
0,0,0,0_0_0,2188
0,0,0,0_0_0,2031
0,1,0,0_1_0,2174
0,0,0,0_0_0,1625
0,0,0,0_0_0,407
0,0,0,0_0_0,1912
0,1,0,0_1_0,939
0,0,0,0_0_0,695
0,1,0,0_1_0,2173
0,0,0,0_0_0,2404
0,0,0,0_0_0,1142
0,0,0,0_0_0,1330
0,0,0,0_0_0,2030
0,1,0,0_1_0,635
0,0,0,0_0_0,973
0,0,0,0_0_0,2468
0,0,0,0_0_0,1614
0,0,0,0_0_0,342
0,0,0,0_0_0,414
0,0,0,0_0_0,2023
0,0,1,0_0_1,79
0,0,0,0_0_0,1733
0,0,0,0_0_0,1160
0,0,0,0_0_0,191
0,0,0,0_0_0,1611
0,0,0,0_0_0,1682
0,0,0,0_0_0,2234
0,0,0,0_0_0,2190
0,0,0,0_0_0,1078
0,0,0,0_0_0,523
0,0,0,0_0_0,1268
0,0,0,0_0_0,192
0,0,0,0_0_0,949
0,0,0,0_0_0,2098
0,0,0,0_0_0,1797
0,0,1,0_0_1,176
0,0,0,0_0_0,822
0,0,0,0_0_0,2153
0,0,1,0_0_1,461
0,0,0,0_0_0,878
0,0,0,0_0_0,2640
0,0,0,0_0_0,1246
0,0,0,0_0_0,162
0,0,0,0_0_0,2151
0,0,0,0_0_0,1658
0,1,1,0_1_1,2058
0,0,0,0_0_0,2102
0,0,0,0_0_0,1338
0,0,0,0_0_0,995
0,0,0,0_0_0,651
0,0,0,0_0_0,1572
0,0,0,0_0_0,460
0,0,0,0_0_0,2039
0,0,0,0_0_0,1909
0,0,0,0_0_0,791
0,0,0,0_0_0,446
0,0,0,0_0_0,2689
0,0,0,0_0_0,1004
0,0,0,0_0_0,1248
0,0,0,0_0_0,2015
0,0,0,0_0_0,548
0,0,0,0_0_0,2027
0,0,1,0_0_1,1976
0,0,1,0_0_1,1920
0,0,0,0_0_0,398
0,0,0,0_0_0,300
0,0,0,0_0_0,794
0,0,0,0_0_0,69
0,0,0,0_0_0,854
0,0,0,0_0_0,2282
0,0,1,0_0_1,2195
0,0,0,0_0_0,496
0,0,0,0_0_0,61
0,0,0,0_0_0,2293
0,0,1,0_0_1,717
0,0,0,0_0_0,1444
0,0,0,0_0_0,1916
0,0,0,0_0_0,2119
0,0,0,0_0_0,1713
0,0,0,0_0_0,255
0,0,0,0_0_0,2099
0,0,0,0_0_0,574
0,0,1,0_0_1,503
0,1,0,0_1_0,1393
0,1,0,0_1_0,1371
0,0,0,0_0_0,2655
0,0,0,0_0_0,1587
0,0,0,0_0_0,2035
0,0,0,0_0_0,1907
0,1,0,0_1_0,23
0,0,0,0_0_0,2312
0,0,0,0_0_0,2264
0,1,0,0_1_0,422
0,1,0,0_1_0,545
0,0,0,0_0_0,318
0,0,0,0_0_0,280
0,0,0,0_0_0,41
0,0,0,0_0_0,2309
0,0,0,0_0_0,699
0,0,0,0_0_0,1732
0,0,0,0_0_0,2128
0,0,0,0_0_0,2166
0,0,0,0_0_0,993
0,0,0,0_0_0,1603
0,0,1,0_0_1,642
0,1,0,0_1_0,2690
0,0,0,0_0_0,1635
0,0,0,0_0_0,1846
0,0,0,0_0_0,1893
0,0,0,0_0_0,621
0,1,0,0_1_0,1544
0,0,0,0_0_0,1973
0,0,1,0_0_1,1561
0,0,0,0_0_0,950
0,0,0,0_0_0,907
0,0,0,0_0_0,2257
0,0,0,0_0_0,2201
0,0,0,0_0_0,1131
0,0,0,0_0_0,1341
0,0,0,0_0_0,2487
0,0,0,0_0_0,1394
0,0,0,0_0_0,2552
0,0,0,0_0_0,2129
0,0,0,0_0_0,870
0,0,0,0_0_0,1319
0,0,0,0_0_0,1285
0,0,0,0_0_0,750
0,0,0,0_0_0,1993
0,0,0,0_0_0,409
0,0,0,0_0_0,211
0,0,0,0_0_0,1930
0,0,0,0_0_0,2171
0,0,0,0_0_0,2594
0,0,0,0_0_0,1929
0,0,0,0_0_0,1174
0,0,0,0_0_0,1110
0,1,0,0_1_0,369
0,0,1,0_0_1,563
0,0,1,0_0_1,210
0,0,0,0_0_0,2680
0,0,0,0_0_0,2154
0,0,1,0_0_1,1324
0,0,0,0_0_0,1244
0,0,1,0_0_1,260
0,0,0,0_0_0,1539
0,0,0,0_0_0,2292
0,0,0,0_0_0,663
0,0,0,0_0_0,715
0,0,0,0_0_0,2069
0,0,0,0_0_0,2070
0,0,0,0_0_0,1590
0,0,0,0_0_0,149
0,0,0,0_0_0,1487
0,0,1,0_0_1,2554
0,0,1,0_0_1,2577
0,0,0,0_0_0,1515
0,0,1,0_0_1,1651
0,0,0,0_0_0,1652
0,0,0,0_0_0,130
0,0,0,0_0_0,1968
0,0,0,0_0_0,749
0,1,0,0_1_0,225
0,1,0,0_1_0,2255
0,0,0,0_0_0,1448
0,0,0,0_0_0,2559
0,0,0,0_0_0,2097
0,0,0,0_0_0,1076
0,0,0,0_0_0,1167
0,0,0,0_0_0,1769
0,0,0,0_0_0,1694
0,0,0,0_0_0,1879
0,0,1,0_0_1,1363
0,0,0,0_0_0,2510
0,0,0,0_0_0,597
0,0,0,0_0_0,2423
0,0,0,0_0_0,1411
0,0,0,0_0_0,224
0,0,0,0_0_0,2136
0,0,0,0_0_0,1119
0,0,0,0_0_0,2426
0,0,0,0_0_0,1259
0,0,0,0_0_0,1990
0,0,0,0_0_0,1895
0,0,0,0_0_0,459
0,0,0,0_0_0,619
0,0,0,0_0_0,236
0,0,0,0_0_0,1346
0,0,1,0_0_1,628
0,0,0,0_0_0,601
0,0,0,0_0_0,1340
0,0,0,0_0_0,2273
0,0,0,0_0_0,1666
0,0,0,0_0_0,2315
0,0,1,0_0_1,737
0,0,1,0_0_1,1225
0,0,0,0_0_0,1156
0,0,0,0_0_0,636
0,0,0,0_0_0,656
0,0,1,0_0_1,2298
0,0,1,0_0_1,2044
0,0,0,0_0_0,1311
0,0,0,0_0_0,919
0,0,0,0_0_0,104
0,0,0,0_0_0,262
0,0,0,0_0_0,2057
0,0,0,0_0_0,716
0,1,0,0_1_0,2661
0,0,1,0_0_1,2294
0,0,0,0_0_0,2308
0,0,1,0_0_1,2295
0,0,1,0_0_1,1850
0,0,0,0_0_0,763
0,0,0,0_0_0,2300
0,0,0,0_0_0,2615
0,0,0,0_0_0,943
0,0,0,0_0_0,2607
0,0,0,0_0_0,2381
0,0,1,0_0_1,969
0,0,0,0_0_0,351
0,0,0,0_0_0,707
0,0,0,0_0_0,759
0,0,0,0_0_0,1852
0,0,0,0_0_0,1856
0,0,0,0_0_0,2638
0,1,0,0_1_0,66
0,0,0,0_0_0,2494
0,0,0,0_0_0,62
0,0,0,0_0_0,1120
0,0,0,0_0_0,2425
0,0,0,0_0_0,2453
0,0,0,0_0_0,384
0,0,0,0_0_0,955
0,0,1,0_0_1,2091
0,0,0,0_0_0,2189
0,0,0,0_0_0,1192
0,0,0,0_0_0,1911
0,0,0,0_0_0,667
0,0,0,0_0_0,1867
0,0,0,0_0_0,366
0,0,0,0_0_0,1995
0,0,0,0_0_0,740
0,0,0,0_0_0,1435
0,0,0,0_0_0,399
0,0,0,0_0_0,1193
0,0,0,0_0_0,388
0,0,0,0_0_0,1670
0,0,0,0_0_0,2321
0,0,0,0_0_0,1150
0,0,0,0_0_0,2100
0,0,0,0_0_0,2278
0,1,1,0_1_1,2569
0,1,0,0_1_0,477
0,1,0,0_1_0,641
0,0,0,0_0_0,303
0,0,0,0_0_0,2684
0,0,0,0_0_0,1697
0,0,0,0_0_0,1379
0,0,0,0_0_0,944
0,0,0,0_0_0,1195
0,0,0,0_0_0,2046
0,0,0,0_0_0,1145
0,0,0,0_0_0,141
0,0,0,0_0_0,779
0,0,0,0_0_0,2196
0,0,1,0_0_1,553
0,0,0,0_0_0,2254
0,0,1,0_0_1,1937
0,1,0,0_1_0,780
0,0,0,0_0_0,476
0,0,0,0_0_0,2104
0,0,0,0_0_0,2427
1,0,0,1_0_0,589
1,0,0,1_0_0,72
1,0,1,1_0_1,2005
1,1,0,1_1_0,2666
1,0,0,1_0_0,1137
1,0,0,1_0_0,1746
1,0,0,1_0_0,1787
1,0,0,1_0_0,2239
1,0,0,1_0_0,1883
1,0,0,1_0_0,2424
1,0,0,1_0_0,2506
1,0,0,1_0_0,339
1,0,0,1_0_0,897
1,0,0,1_0_0,1743
1,0,0,1_0_0,1425
1,0,0,1_0_0,1459
1,0,0,1_0_0,2456
1,0,0,1_0_0,754
1,0,0,1_0_0,1578
1,0,0,1_0_0,393
1,0,0,1_0_0,2106
1,0,0,1_0_0,2217
1,0,1,1_0_1,1161
1,0,0,1_0_0,910
1,0,0,1_0_0,488
1,0,0,1_0_0,338
1,0,0,1_0_0,2215
1,0,1,1_0_1,1921
1,0,0,1_0_0,386
1,0,0,1_0_0,767
1,0,0,1_0_0,1351
1,1,1,1_1_1,1476
1,0,1,1_0_1,329
1,0,1,1_0_1,942
1,0,0,1_0_0,1522
1,0,0,1_0_0,1345
1,0,0,1_0_0,1853
1,0,0,1_0_0,1818
1,1,0,1_1_0,2619
1,0,1,1_0_1,684
1,0,0,1_0_0,175
1,0,0,1_0_0,1783
1,0,0,1_0_0,151
1,0,0,1_0_0,2481
1,0,1,1_0_1,87
1,0,0,1_0_0,2280
1,0,0,1_0_0,626
1,0,0,1_0_0,1455
1,0,0,1_0_0,2470
1,1,0,1_1_0,307
1,0,0,1_0_0,519
1,0,0,1_0_0,2579
1,0,0,1_0_0,1817
1,0,0,1_0_0,2553
1,0,0,1_0_0,2547
1,0,1,1_0_1,1784
1,0,1,1_0_1,941
1,0,0,1_0_0,1640
1,0,0,1_0_0,2474
1,0,0,1_0_0,838
1,0,0,1_0_0,1261
1,0,0,1_0_0,1574
1,0,0,1_0_0,902
1,0,1,1_0_1,1760
1,0,0,1_0_0,859
1,0,0,1_0_0,2575
1,0,0,1_0_0,575
1,0,0,1_0_0,2396
1,0,0,1_0_0,2096
1,0,0,1_0_0,199
1,0,0,1_0_0,2045
1,0,0,1_0_0,430
1,0,0,1_0_0,153
1,0,1,1_0_1,2578
1,1,0,1_1_0,2209
1,0,0,1_0_0,2344
1,0,0,1_0_0,1931
1,0,0,1_0_0,1453
1,0,1,1_0_1,1220
1,0,0,1_0_0,1342
1,0,0,1_0_0,2354
1,0,0,1_0_0,1085
1,0,0,1_0_0,1141
1,0,0,1_0_0,1807
1,0,1,1_0_1,188
1,0,0,1_0_0,1618
1,0,0,1_0_0,1849
1,0,0,1_0_0,1878
1,0,0,1_0_0,1508
1,0,0,1_0_0,1123
1,0,0,1_0_0,968
1,0,0,1_0_0,1814
1,0,0,1_0_0,35
1,0,0,1_0_0,402
1,0,0,1_0_0,1540
1,0,1,1_0_1,413
1,0,0,1_0_0,146
1,0,0,1_0_0,1882
1,0,0,1_0_0,2523
1,0,0,1_0_0,1312
1,0,0,1_0_0,643
1,0,0,1_0_0,686
1,0,0,1_0_0,341
1,0,0,1_0_0,1562
1,1,0,1_1_0,2639
1,1,0,1_1_0,84
1,0,0,1_0_0,2611
1,0,0,1_0_0,2407
1,0,0,1_0_0,1576
1,0,0,1_0_0,858
1,0,0,1_0_0,2587
1,0,0,1_0_0,2138
1,0,0,1_0_0,1251
1,0,1,1_0_1,438
1,1,0,1_1_0,1165
1,0,0,1_0_0,2654
1,0,0,1_0_0,1136
1,1,0,1_1_0,108
1,0,0,1_0_0,1207
1,0,0,1_0_0,1813
1,0,0,1_0_0,1118
1,0,0,1_0_0,2311
1,0,0,1_0_0,1676
1,1,0,1_1_0,144
1,1,0,1_1_0,213
1,0,0,1_0_0,2405
1,0,0,1_0_0,2527
1,0,0,1_0_0,1082
1,0,0,1_0_0,1777
1,0,0,1_0_0,360
1,0,0,1_0_0,335
1,0,0,1_0_0,2656
1,0,0,1_0_0,923
1,0,0,1_0_0,1830
1,0,0,1_0_0,1019
1,0,0,1_0_0,2591
