label1,label2,label3,label,node
0,0,0,0_0_0,636
0,0,0,0_0_0,574
0,0,0,0_0_0,3082
0,1,0,0_1_0,1246
0,0,0,0_0_0,2131
0,0,0,0_0_0,2446
0,1,0,0_1_0,2680
0,1,0,0_1_0,232
0,1,0,0_1_0,2769
0,0,0,0_0_0,2532
0,1,0,0_1_0,1587
0,1,0,0_1_0,3052
0,1,0,0_1_0,737
0,1,0,0_1_0,1041
0,0,0,0_0_0,1057
0,0,0,0_0_0,1957
0,1,0,0_1_0,1831
0,0,0,0_0_0,892
0,1,0,0_1_0,2082
0,0,0,0_0_0,1267
0,1,0,0_1_0,450
0,0,0,0_0_0,1312
0,1,0,0_1_0,2771
0,1,0,0_1_0,1185
0,1,0,0_1_0,255
0,1,0,0_1_0,370
0,1,0,0_1_0,964
0,1,0,0_1_0,2574
0,1,0,0_1_0,641
0,1,0,0_1_0,734
0,1,0,0_1_0,273
0,1,0,0_1_0,2506
0,0,0,0_0_0,2129
0,1,0,0_1_0,91
0,0,0,0_0_0,1994
0,0,0,0_0_0,1962
0,0,0,0_0_0,3154
0,0,0,0_0_0,1284
0,0,0,0_0_0,919
0,0,0,0_0_0,3085
0,1,0,0_1_0,1043
0,0,0,0_0_0,767
0,1,0,0_1_0,2489
0,1,0,0_1_0,2855
0,0,0,0_0_0,192
0,1,0,0_1_0,3028
0,1,0,0_1_0,1875
0,1,0,0_1_0,2739
0,1,0,0_1_0,2587
0,1,0,0_1_0,2505
0,0,0,0_0_0,376
0,1,0,0_1_0,1721
0,1,0,0_1_0,20
0,1,0,0_1_0,2219
0,0,0,0_0_0,1700
0,1,0,0_1_0,1732
0,1,0,0_1_0,1629
0,1,0,0_1_0,824
0,1,0,0_1_0,2283
0,0,0,0_0_0,2300
0,1,0,0_1_0,90
0,1,0,0_1_0,2304
0,0,0,0_0_0,951
0,0,0,0_0_0,264
0,0,0,0_0_0,2061
0,1,0,0_1_0,2002
0,1,0,0_1_0,2729
0,1,0,0_1_0,151
0,0,0,0_0_0,2600
0,1,0,0_1_0,1717
0,0,0,0_0_0,1491
0,0,0,0_0_0,477
0,1,0,0_1_0,798
0,0,0,0_0_0,3258
0,1,0,0_1_0,1997
0,1,0,0_1_0,1682
0,1,0,0_1_0,860
0,0,0,0_0_0,299
0,0,0,0_0_0,2969
0,1,0,0_1_0,1295
0,1,0,0_1_0,1466
0,1,0,0_1_0,1812
0,1,0,0_1_0,577
0,1,0,0_1_0,878
0,1,0,0_1_0,1880
0,1,0,0_1_0,928
0,1,0,0_1_0,2162
0,1,0,0_1_0,2128
0,1,0,0_1_0,1193
0,0,0,0_0_0,2194
0,1,0,0_1_0,236
0,0,0,0_0_0,2500
0,0,0,0_0_0,1177
0,1,0,0_1_0,1676
0,1,0,0_1_0,1856
0,1,0,0_1_0,713
0,1,0,0_1_0,2645
0,0,0,0_0_0,461
0,1,0,0_1_0,191
0,0,0,0_0_0,2171
0,1,0,0_1_0,723
0,0,0,0_0_0,1374
0,0,0,0_0_0,109
0,1,0,0_1_0,441
0,1,0,0_1_0,2301
0,1,0,0_1_0,1861
0,1,0,0_1_0,33
0,1,0,0_1_0,2156
0,0,0,0_0_0,2145
0,1,0,0_1_0,744
0,1,0,0_1_0,1733
0,0,0,0_0_0,2796
0,1,0,0_1_0,1654
0,1,0,0_1_0,822
0,1,0,0_1_0,2909
0,0,0,0_0_0,2093
0,0,0,0_0_0,652
0,0,0,0_0_0,2658
0,0,0,0_0_0,710
0,0,0,0_0_0,108
0,0,0,0_0_0,2985
0,0,0,0_0_0,1888
0,0,0,0_0_0,2834
0,1,0,0_1_0,230
0,1,0,0_1_0,1202
0,0,0,0_0_0,2809
0,0,0,0_0_0,2986
0,1,0,0_1_0,3207
0,1,0,0_1_0,716
0,1,0,0_1_0,1780
0,0,0,0_0_0,1270
0,1,0,0_1_0,1338
0,0,0,0_0_0,225
0,1,0,0_1_0,1340
0,1,0,0_1_0,768
0,0,0,0_0_0,1174
0,1,0,0_1_0,1302
0,1,0,0_1_0,1694
0,1,0,0_1_0,2632
0,1,0,0_1_0,1570
0,1,0,0_1_0,2001
0,0,0,0_0_0,1528
0,1,0,0_1_0,2827
0,0,0,0_0_0,3141
0,0,0,0_0_0,3115
0,0,0,0_0_0,1208
0,0,0,0_0_0,1425
0,0,0,0_0_0,47
0,0,0,0_0_0,248
0,0,0,0_0_0,360
0,1,0,0_1_0,971
0,0,0,0_0_0,1092
0,1,0,0_1_0,2339
0,1,0,0_1_0,532
0,1,0,0_1_0,1569
0,0,0,0_0_0,1166
0,1,0,0_1_0,2644
0,0,0,0_0_0,845
0,1,0,0_1_0,104
0,0,0,0_0_0,2659
0,0,0,0_0_0,1931
0,1,0,0_1_0,1844
0,1,0,0_1_0,2240
0,0,0,0_0_0,2808
0,1,0,0_1_0,780
0,1,0,0_1_0,859
0,1,0,0_1_0,274
0,0,0,0_0_0,1632
0,1,0,0_1_0,65
0,0,0,0_0_0,2841
0,0,0,0_0_0,2795
0,1,0,0_1_0,2400
0,0,0,0_0_0,310
0,1,0,0_1_0,677
0,1,0,0_1_0,2830
