label1,label2,label3,label,node
0,1,1,0_1_1,2468
0,0,0,0_0_0,16705
0,0,1,0_0_1,9072
0,1,1,0_1_1,18534
0,0,1,0_0_1,6879
0,1,0,0_1_0,1690
0,0,0,0_0_0,15656
0,1,0,0_1_0,18755
0,0,1,0_0_1,14083
0,0,1,0_0_1,13591
0,0,0,0_0_0,4499
0,1,0,0_1_0,1454
0,1,1,0_1_1,4586
0,1,0,0_1_0,17978
0,0,1,0_0_1,10344
0,1,1,0_1_1,14054
0,0,1,0_0_1,10353
0,1,1,0_1_1,5599
0,1,1,0_1_1,15046
0,1,0,0_1_0,18
0,0,0,0_0_0,8594
0,1,0,0_1_0,826
0,1,0,0_1_0,13741
0,0,0,0_0_0,9997
0,0,1,0_0_1,5865
0,1,1,0_1_1,17074
0,0,1,0_0_1,570
0,0,0,0_0_0,11845
0,0,1,0_0_1,4208
0,0,0,0_0_0,7666
0,0,0,0_0_0,17096
0,0,1,0_0_1,16359
0,0,1,0_0_1,5705
0,0,1,0_0_1,14983
0,1,0,0_1_0,11501
0,1,0,0_1_0,15967
0,1,0,0_1_0,8210
0,1,0,0_1_0,13810
0,0,1,0_0_1,12984
0,0,1,0_0_1,15800
0,0,1,0_0_1,14833
0,1,1,0_1_1,8267
0,0,1,0_0_1,11101
0,0,0,0_0_0,18537
0,0,1,0_0_1,17888
0,0,1,0_0_1,10870
0,0,1,0_0_1,4730
0,0,0,0_0_0,4176
0,0,1,0_0_1,16037
0,0,0,0_0_0,12501
0,0,0,0_0_0,13424
0,0,0,0_0_0,1879
0,1,1,0_1_1,8247
0,1,1,0_1_1,11822
0,0,0,0_0_0,2608
0,0,0,0_0_0,9704
0,1,0,0_1_0,13996
0,0,1,0_0_1,13201
0,1,0,0_1_0,11926
0,0,0,0_0_0,9243
0,0,0,0_0_0,1072
0,0,1,0_0_1,3317
0,1,1,0_1_1,5771
0,0,0,0_0_0,18666
0,0,1,0_0_1,15043
0,0,1,0_0_1,9607
0,0,0,0_0_0,2251
0,0,0,0_0_0,8107
0,1,1,0_1_1,13866
0,0,0,0_0_0,7159
0,0,0,0_0_0,15507
0,0,0,0_0_0,8270
0,1,0,0_1_0,3860
0,0,0,0_0_0,4636
0,0,0,0_0_0,976
0,0,0,0_0_0,4802
0,0,0,0_0_0,6818
0,1,0,0_1_0,2079
0,0,0,0_0_0,14531
0,1,0,0_1_0,13047
0,0,0,0_0_0,17363
0,0,1,0_0_1,1877
0,0,0,0_0_0,4608
0,1,0,0_1_0,13550
0,1,0,0_1_0,13171
0,1,1,0_1_1,18959
0,1,0,0_1_0,5345
0,0,1,0_0_1,17143
0,0,0,0_0_0,6887
0,0,1,0_0_1,15764
0,0,1,0_0_1,2687
0,1,1,0_1_1,11752
0,0,0,0_0_0,11000
0,1,1,0_1_1,6594
0,1,1,0_1_1,9509
0,0,0,0_0_0,16817
0,0,0,0_0_0,7526
0,0,0,0_0_0,2426
0,0,1,0_0_1,14213
0,1,1,0_1_1,5893
0,1,0,0_1_0,16795
0,0,0,0_0_0,11062
0,0,0,0_0_0,259
0,0,0,0_0_0,18952
0,0,1,0_0_1,12636
0,0,0,0_0_0,8878
0,0,0,0_0_0,12935
0,1,0,0_1_0,17292
0,1,1,0_1_1,3928
0,1,0,0_1_0,5112
0,1,0,0_1_0,1014
0,0,0,0_0_0,13323
0,1,0,0_1_0,10105
0,0,0,0_0_0,9466
0,0,0,0_0_0,9244
0,0,0,0_0_0,19506
0,1,0,0_1_0,12499
0,1,1,0_1_1,15524
0,1,0,0_1_0,15464
0,1,0,0_1_0,12121
0,0,1,0_0_1,11804
0,0,1,0_0_1,16575
0,0,1,0_0_1,5692
0,0,1,0_0_1,14109
0,0,0,0_0_0,3328
0,1,0,0_1_0,3817
0,1,1,0_1_1,11746
0,0,1,0_0_1,12503
0,0,0,0_0_0,1053
0,1,0,0_1_0,11248
0,0,0,0_0_0,3219
0,1,0,0_1_0,463
0,0,0,0_0_0,2652
0,0,1,0_0_1,12940
0,0,1,0_0_1,9098
0,0,0,0_0_0,3107
0,0,0,0_0_0,3460
0,1,1,0_1_1,5800
0,0,1,0_0_1,2102
0,1,0,0_1_0,6702
0,0,0,0_0_0,12607
0,1,1,0_1_1,13355
0,1,1,0_1_1,2387
0,0,0,0_0_0,11395
0,1,0,0_1_0,11103
0,0,0,0_0_0,2803
0,0,0,0_0_0,15378
0,1,1,0_1_1,6159
0,0,0,0_0_0,6162
0,0,0,0_0_0,18834
0,0,1,0_0_1,4585
0,1,1,0_1_1,4891
0,1,1,0_1_1,13660
0,0,1,0_0_1,18113
0,1,0,0_1_0,19394
0,0,0,0_0_0,4641
0,0,0,0_0_0,3532
0,1,1,0_1_1,13167
0,0,1,0_0_1,13991
0,0,1,0_0_1,9142
0,0,1,0_0_1,2400
0,1,0,0_1_0,10668
0,1,0,0_1_0,9771
0,0,1,0_0_1,6946
0,0,1,0_0_1,15581
0,0,1,0_0_1,18626
0,0,0,0_0_0,13973
0,0,1,0_0_1,2161
0,1,1,0_1_1,13863
0,0,0,0_0_0,6486
0,0,0,0_0_0,1623
0,0,1,0_0_1,5135
0,0,1,0_0_1,18335
0,0,1,0_0_1,5837
0,0,0,0_0_0,9635
0,1,0,0_1_0,3239
0,1,0,0_1_0,5986
0,1,1,0_1_1,14510
0,0,0,0_0_0,9304
0,0,0,0_0_0,13584
0,0,0,0_0_0,4171
0,0,1,0_0_1,2163
0,0,1,0_0_1,9731
0,0,1,0_0_1,8581
0,0,1,0_0_1,4227
0,0,0,0_0_0,13955
0,0,0,0_0_0,3845
0,0,0,0_0_0,5330
