label1,label2,label3,label,node
0,1,0,0_1_0,3845
0,0,0,0_0_0,19303
0,1,0,0_1_0,17758
0,0,0,0_0_0,2819
0,1,0,0_1_0,9501
0,1,0,0_1_0,9243
0,1,0,0_1_0,3067
0,1,0,0_1_0,3134
0,1,0,0_1_0,125
0,1,0,0_1_0,1899
0,1,0,0_1_0,3291
0,1,0,0_1_0,6609
0,0,0,0_0_0,13309
0,1,0,0_1_0,3368
0,1,0,0_1_0,4208
0,0,0,0_0_0,7666
0,1,0,0_1_0,18168
0,1,0,0_1_0,6093
0,0,0,0_0_0,3683
0,0,0,0_0_0,19603
0,1,0,0_1_0,11196
0,0,0,0_0_0,5812
0,0,0,0_0_0,1400
0,0,0,0_0_0,19032
0,0,0,0_0_0,15973
0,1,0,0_1_0,16705
0,1,0,0_1_0,2145
0,1,0,0_1_0,7170
0,1,0,0_1_0,7235
0,1,0,0_1_0,15875
0,1,0,0_1_0,2542
0,1,0,0_1_0,9463
0,1,0,0_1_0,12039
0,1,0,0_1_0,18158
0,1,0,0_1_0,4585
0,1,0,0_1_0,14920
0,1,0,0_1_0,6162
0,0,0,0_0_0,15174
0,1,0,0_1_0,11286
0,1,0,0_1_0,12188
0,1,0,0_1_0,15115
0,0,0,0_0_0,8462
0,1,0,0_1_0,14081
0,1,0,0_1_0,6372
0,1,0,0_1_0,3627
0,1,0,0_1_0,11843
0,1,0,0_1_0,2266
0,1,0,0_1_0,11686
0,0,0,0_0_0,5606
0,1,0,0_1_0,14711
0,0,0,0_0_0,18437
0,1,0,0_1_0,10452
0,0,0,0_0_0,953
0,0,0,0_0_0,9035
0,1,0,0_1_0,8769
0,1,0,0_1_0,19653
0,0,0,0_0_0,10970
0,0,0,0_0_0,6224
0,1,0,0_1_0,14009
0,0,0,0_0_0,7311
0,0,0,0_0_0,6238
0,0,0,0_0_0,5245
0,1,0,0_1_0,14580
0,1,0,0_1_0,177
0,0,0,0_0_0,9286
0,1,0,0_1_0,10245
0,1,0,0_1_0,6948
0,1,0,0_1_0,622
0,1,0,0_1_0,18369
0,0,0,0_0_0,6931
0,1,0,0_1_0,8270
0,1,0,0_1_0,19562
0,1,0,0_1_0,11845
0,0,0,0_0_0,18531
0,0,0,0_0_0,11814
0,0,0,0_0_0,4161
0,1,0,0_1_0,2803
0,0,0,0_0_0,2612
0,1,0,0_1_0,7975
0,1,0,0_1_0,14589
0,0,0,0_0_0,6680
0,1,0,0_1_0,14884
0,0,0,0_0_0,2062
0,0,0,0_0_0,6884
0,1,0,0_1_0,4579
0,0,0,0_0_0,7824
0,1,0,0_1_0,13137
0,1,0,0_1_0,3981
0,1,0,0_1_0,19455
0,0,0,0_0_0,1401
0,1,0,0_1_0,5729
0,1,0,0_1_0,6160
0,1,0,0_1_0,9950
0,0,0,0_0_0,15333
0,1,0,0_1_0,13251
0,1,0,0_1_0,13329
0,0,0,0_0_0,6710
0,1,0,0_1_0,7114
0,1,0,0_1_0,4509
