label1,label2,label3,label,node
0,0,0,0_0_0,6238
0,1,0,0_1_0,3022
0,0,0,0_0_0,16879
0,0,0,0_0_0,3928
0,1,0,0_1_0,4485
0,1,0,0_1_0,16792
0,0,0,0_0_0,11700
0,0,0,0_0_0,13550
0,1,0,0_1_0,5321
0,1,0,0_1_0,17225
0,1,0,0_1_0,14833
0,0,0,0_0_0,5986
0,0,0,0_0_0,10623
0,1,0,0_1_0,17663
0,1,0,0_1_0,10353
0,1,0,0_1_0,16418
0,1,0,0_1_0,17408
0,1,0,0_1_0,1660
0,0,0,0_0_0,11715
0,0,0,0_0_0,1473
0,0,0,0_0_0,8462
0,1,0,0_1_0,18666
0,0,0,0_0_0,2737
0,1,0,0_1_0,7962
0,1,0,0_1_0,13424
0,0,0,0_0_0,18192
0,0,0,0_0_0,17301
0,0,0,0_0_0,1506
0,1,0,0_1_0,907
0,1,0,0_1_0,2687
0,1,0,0_1_0,10108
0,1,0,0_1_0,15800
0,1,0,0_1_0,11196
0,0,0,0_0_0,9867
0,1,0,0_1_0,565
0,1,0,0_1_0,7564
0,1,0,0_1_0,15017
0,0,0,0_0_0,16848
0,1,0,0_1_0,12605
0,0,0,0_0_0,7568
0,1,0,0_1_0,669
0,1,0,0_1_0,5330
0,1,0,0_1_0,4802
0,1,0,0_1_0,4110
0,1,0,0_1_0,9166
0,0,0,0_0_0,17292
0,1,0,0_1_0,14081
0,0,0,0_0_0,5475
0,1,0,0_1_0,9997
0,0,0,0_0_0,3327
0,1,0,0_1_0,4728
0,1,0,0_1_0,1053
0,1,0,0_1_0,14014
0,1,0,0_1_0,2431
0,0,0,0_0_0,6111
0,1,0,0_1_0,976
0,1,0,0_1_0,3845
0,1,0,0_1_0,6372
0,0,0,0_0_0,4798
0,1,0,0_1_0,17888
0,1,0,0_1_0,18113
0,0,0,0_0_0,11229
0,0,0,0_0_0,14731
0,1,0,0_1_0,11845
0,1,0,0_1_0,4080
0,1,0,0_1_0,13612
0,1,0,0_1_0,9084
0,1,0,0_1_0,17302
0,1,0,0_1_0,5578
0,1,0,0_1_0,14040
0,1,0,0_1_0,9292
0,1,0,0_1_0,13148
0,1,0,0_1_0,2934
0,1,0,0_1_0,15969
0,1,0,0_1_0,1750
0,0,0,0_0_0,12499
0,1,0,0_1_0,394
0,0,0,0_0_0,1690
0,1,0,0_1_0,8070
0,1,0,0_1_0,8487
0,1,0,0_1_0,8695
0,1,0,0_1_0,15708
0,1,0,0_1_0,5729
0,1,0,0_1_0,4760
0,0,0,0_0_0,463
0,0,0,0_0_0,2079
0,1,0,0_1_0,12044
0,1,0,0_1_0,17974
0,1,0,0_1_0,13966
0,1,0,0_1_0,12214
0,1,0,0_1_0,14361
0,0,0,0_0_0,17978
0,1,0,0_1_0,3641
0,0,0,0_0_0,4733
0,1,0,0_1_0,3368
0,1,0,0_1_0,1940
0,1,0,0_1_0,2893
0,1,0,0_1_0,19506
0,1,0,0_1_0,6173
0,1,0,0_1_0,9501
0,0,0,0_0_0,9304
0,1,0,0_1_0,16423
0,1,0,0_1_0,6991
0,0,0,0_0_0,12121
