label1,label2,label3,label,node
0,1,0,0_1_0,2600
0,0,0,0_0_0,1721
0,1,0,0_1_0,192
0,1,0,0_1_0,1267
0,0,0,0_0_0,737
0,1,0,0_1_0,2131
0,1,0,0_1_0,1270
0,0,0,0_0_0,255
0,1,0,0_1_0,461
0,0,0,0_0_0,2219
0,1,0,0_1_0,1957
0,1,0,0_1_0,477
0,1,0,0_1_0,2194
0,1,0,0_1_0,919
0,1,0,0_1_0,574
0,1,0,0_1_0,892
0,1,0,0_1_0,1166
0,1,0,0_1_0,845
0,1,0,0_1_0,1888
0,0,0,0_0_0,450
0,1,0,0_1_0,1425
0,0,0,0_0_0,2082
0,1,0,0_1_0,3085
0,1,0,0_1_0,2093
0,1,0,0_1_0,1632
0,0,0,0_0_0,1795
0,0,0,0_0_0,1629
0,0,0,0_0_0,3052
0,0,0,0_0_0,1041
0,0,0,0_0_0,1880
0,1,0,0_1_0,2808
0,1,0,0_1_0,3082
0,1,0,0_1_0,1937
0,1,0,0_1_0,264
0,1,0,0_1_0,360
0,0,0,0_0_0,3150
0,1,0,0_1_0,2841
0,1,0,0_1_0,2969
0,0,0,0_0_0,1215
0,1,0,0_1_0,2049
0,0,0,0_0_0,1220
0,0,0,0_0_0,1856
0,0,0,0_0_0,2680
0,1,0,0_1_0,3307
0,1,0,0_1_0,1057
0,1,0,0_1_0,1528
0,1,0,0_1_0,2145
0,0,0,0_0_0,2855
0,0,0,0_0_0,2400
0,1,0,0_1_0,2171
0,0,0,0_0_0,91
0,0,0,0_0_0,2235
0,1,0,0_1_0,1269
0,1,0,0_1_0,710
0,1,0,0_1_0,2941
0,0,0,0_0_0,1311
0,1,0,0_1_0,299
0,1,0,0_1_0,2658
0,0,0,0_0_0,1844
0,1,0,0_1_0,2544
0,0,0,0_0_0,90
0,0,0,0_0_0,2328
0,0,0,0_0_0,154
0,1,0,0_1_0,3141
0,0,0,0_0_0,798
0,1,0,0_1_0,534
0,0,0,0_0_0,191
0,0,0,0_0_0,2001
0,0,0,0_0_0,2674
0,1,0,0_1_0,838
0,0,0,0_0_0,236
0,1,0,0_1_0,225
0,0,0,0_0_0,230
0,0,0,0_0_0,1466
0,0,0,0_0_0,2720
0,1,0,0_1_0,1816
0,1,0,0_1_0,175
0,0,0,0_0_0,1295
0,0,0,0_0_0,1340
0,1,0,0_1_0,3140
0,0,0,0_0_0,1574
0,0,0,0_0_0,744
0,0,0,0_0_0,3300
0,1,0,0_1_0,1489
0,0,0,0_0_0,2645
0,0,0,0_0_0,2505
0,0,0,0_0_0,1671
0,1,0,0_1_0,470
0,1,0,0_1_0,248
0,1,0,0_1_0,1962
0,1,0,0_1_0,2795
0,0,0,0_0_0,1131
0,1,0,0_1_0,474
0,0,0,0_0_0,824
0,0,0,0_0_0,1710
0,1,0,0_1_0,3104
0,0,0,0_0_0,1469
0,1,0,0_1_0,187
0,0,0,0_0_0,2499
0,1,0,0_1_0,1283
0,0,0,0_0_0,2304
0,0,0,0_0_0,1447
0,0,0,0_0_0,2160
0,1,0,0_1_0,1649
0,0,0,0_0_0,3206
0,0,0,0_0_0,2339
0,1,0,0_1_0,1159
0,1,0,0_1_0,2879
0,1,0,0_1_0,47
0,0,0,0_0_0,878
0,0,0,0_0_0,263
0,1,0,0_1_0,3245
0,0,0,0_0_0,2655
0,0,0,0_0_0,1682
0,1,0,0_1_0,2518
0,1,0,0_1_0,1876
0,0,0,0_0_0,2163
0,0,0,0_0_0,1625
0,0,0,0_0_0,723
0,0,0,0_0_0,2632
0,1,0,0_1_0,3055
0,0,0,0_0_0,754
0,1,0,0_1_0,199
0,1,0,0_1_0,1661
0,0,0,0_0_0,906
0,0,0,0_0_0,2556
0,1,0,0_1_0,1994
0,0,0,0_0_0,1138
0,1,0,0_1_0,2127
0,1,0,0_1_0,0
0,1,0,0_1_0,2138
0,0,0,0_0_0,48
0,0,0,0_0_0,2661
0,1,0,0_1_0,1413
0,1,0,0_1_0,2806
0,0,0,0_0_0,2586
0,0,0,0_0_0,87
0,0,0,0_0_0,232
0,1,0,0_1_0,2044
0,0,0,0_0_0,3275
0,0,0,0_0_0,2739
0,1,0,0_1_0,1374
0,1,0,0_1_0,37
0,1,0,0_1_0,1752
0,0,0,0_0_0,716
0,1,0,0_1_0,1873
0,1,0,0_1_0,933
0,0,0,0_0_0,1033
0,0,0,0_0_0,860
0,0,0,0_0_0,418
0,0,0,0_0_0,413
0,1,0,0_1_0,3258
0,1,0,0_1_0,366
0,1,0,0_1_0,628
0,0,0,0_0_0,3326
0,0,0,0_0_0,33
0,1,0,0_1_0,2917
0,0,0,0_0_0,2128
0,1,0,0_1_0,739
0,1,0,0_1_0,2300
0,0,0,0_0_0,650
0,0,0,0_0_0,2535
0,0,0,0_0_0,2215
0,1,0,0_1_0,2503
0,1,0,0_1_0,621
0,0,0,0_0_0,1968
0,1,0,0_1_0,636
0,1,0,0_1_0,750
0,1,0,0_1_0,432
0,1,0,0_1_0,2526
0,1,0,0_1_0,160
0,1,0,0_1_0,109
0,0,0,0_0_0,2547
0,1,0,0_1_0,2716
0,1,0,0_1_0,3185
0,0,0,0_0_0,1818
0,0,0,0_0_0,728
0,1,0,0_1_0,2286
0,1,0,0_1_0,1931
0,0,0,0_0_0,1733
0,0,0,0_0_0,274
0,0,0,0_0_0,1912
0,1,0,0_1_0,3260
0,1,0,0_1_0,3315
0,1,0,0_1_0,223
0,1,0,0_1_0,2872
0,0,0,0_0_0,3067
0,0,0,0_0_0,2301
0,1,0,0_1_0,1465
0,1,0,0_1_0,301
0,0,0,0_0_0,2169
0,0,0,0_0_0,3156
0,1,0,0_1_0,2061
0,1,0,0_1_0,2051
0,0,0,0_0_0,1260
0,0,0,0_0_0,2136
0,1,0,0_1_0,3214
0,0,0,0_0_0,2811
0,0,0,0_0_0,3235
0,1,0,0_1_0,898
