label1,label2,label3,label,node
0,0,0,0_0_0,2188
0,0,0,0_0_0,2234
0,0,0,0_0_0,342
0,0,0,0_0_0,1142
0,0,0,0_0_0,176
0,1,0,0_1_0,2690
0,1,0,0_1_0,939
0,0,0,0_0_0,2031
0,0,0,0_0_0,1625
0,0,0,0_0_0,2153
0,0,0,0_0_0,79
0,0,0,0_0_0,1603
0,0,0,0_0_0,2404
0,0,0,0_0_0,2166
0,0,0,0_0_0,1539
0,0,0,0_0_0,878
0,0,0,0_0_0,2023
0,0,0,0_0_0,2201
0,0,0,0_0_0,1658
0,0,0,0_0_0,1330
0,0,1,0_0_1,2468
0,0,0,0_0_0,2655
0,1,0,0_1_0,2174
0,0,0,0_0_0,1732
0,0,0,0_0_0,1561
0,0,0,0_0_0,2030
0,0,0,0_0_0,750
0,0,0,0_0_0,255
0,0,0,0_0_0,2190
0,0,0,0_0_0,949
0,0,0,0_0_0,950
0,0,0,0_0_0,1246
0,0,0,0_0_0,1411
0,1,0,0_1_0,23
0,0,0,0_0_0,1394
0,0,1,0_0_1,1587
0,0,0,0_0_0,919
0,0,0,0_0_0,2257
0,0,1,0_0_1,2128
0,0,0,0_0_0,1990
0,0,0,0_0_0,1076
0,0,0,0_0_0,1167
0,1,0,0_1_0,2173
0,0,0,0_0_0,1769
0,0,0,0_0_0,1110
0,1,1,0_1_1,635
0,1,0,0_1_0,2661
0,0,0,0_0_0,1895
0,0,0,0_0_0,1733
0,0,0,0_0_0,1515
0,0,0,0_0_0,461
0,0,0,0_0_0,1611
0,0,0,0_0_0,2015
0,0,0,0_0_0,407
0,0,0,0_0_0,2607
0,0,0,0_0_0,993
0,0,0,0_0_0,1004
0,0,0,0_0_0,2151
0,0,0,0_0_0,1993
0,0,0,0_0_0,2315
0,0,0,0_0_0,280
0,0,0,0_0_0,2298
0,0,1,0_0_1,1713
0,0,1,0_0_1,2102
0,0,0,0_0_0,1338
0,0,0,0_0_0,995
0,0,0,0_0_0,192
0,0,0,0_0_0,2273
0,0,0,0_0_0,388
0,0,0,0_0_0,1150
0,0,1,0_0_1,414
0,0,0,0_0_0,1911
0,0,0,0_0_0,1145
0,0,0,0_0_0,663
0,0,1,0_0_1,72
0,0,0,0_0_0,656
0,0,0,0_0_0,1078
0,0,0,0_0_0,2510
0,0,0,0_0_0,399
0,0,0,0_0_0,822
0,0,0,0_0_0,41
0,0,0,0_0_0,191
0,0,1,0_0_1,446
0,0,0,0_0_0,1930
0,0,0,0_0_0,2689
0,1,0,0_1_0,66
0,0,0,0_0_0,2294
0,0,0,0_0_0,262
0,0,0,0_0_0,1694
0,0,0,0_0_0,1174
0,0,0,0_0_0,1341
0,0,0,0_0_0,1268
0,0,0,0_0_0,162
0,0,0,0_0_0,1883
0,0,0,0_0_0,2278
0,0,0,0_0_0,1285
0,0,0,0_0_0,2426
0,0,0,0_0_0,384
0,0,0,0_0_0,2154
0,0,0,0_0_0,955
0,0,0,0_0_0,459
0,0,0,0_0_0,260
0,0,0,0_0_0,2312
0,0,0,0_0_0,754
0,0,1,0_0_1,941
0,0,0,0_0_0,1311
0,0,0,0_0_0,1345
0,0,0,0_0_0,1459
