label1,label2,label3,label,node
0,0,0,0_0_0,1330
0,0,0,0_0_0,2031
0,0,0,0_0_0,1411
0,0,0,0_0_0,973
0,0,0,0_0_0,407
0,0,0,0_0_0,79
0,1,0,0_1_0,2173
0,0,0,0_0_0,342
0,0,0,0_0_0,2188
0,0,0,0_0_0,1912
0,1,0,0_1_0,939
0,1,0,0_1_0,2174
0,0,0,0_0_0,2171
0,0,0,0_0_0,2234
0,0,0,0_0_0,2404
0,0,0,0_0_0,695
0,0,0,0_0_0,993
0,0,0,0_0_0,523
0,0,0,0_0_0,191
0,0,0,0_0_0,1338
0,0,1,0_0_1,995
0,0,0,0_0_0,2102
0,0,0,0_0_0,2151
0,0,0,0_0_0,767
0,0,0,0_0_0,255
0,0,0,0_0_0,2298
0,0,0,0_0_0,176
0,0,0,0_0_0,2153
0,1,0,0_1_0,2690
0,0,0,0_0_0,1911
0,0,0,0_0_0,1611
0,0,0,0_0_0,1167
0,0,0,0_0_0,1268
0,0,0,0_0_0,1603
0,0,0,0_0_0,1907
0,0,1,0_0_1,162
0,0,0,0_0_0,476
0,1,0,0_1_0,1393
0,0,1,0_0_1,211
0,0,0,0_0_0,2128
0,0,0,0_0_0,2257
0,0,0,0_0_0,2487
0,0,0,0_0_0,2295
0,0,0,0_0_0,1993
0,0,0,0_0_0,1340
0,0,1,0_0_1,749
0,0,0,0_0_0,2099
0,0,0,0_0_0,2129
0,0,0,0_0_0,1625
0,0,0,0_0_0,1658
0,1,0,0_1_0,477
0,0,0,0_0_0,1394
0,0,0,0_0_0,460
0,0,0,0_0_0,1244
0,1,0,0_1_0,66
0,0,0,0_0_0,878
0,0,0,0_0_0,1882
0,0,0,0_0_0,2577
0,0,0,0_0_0,388
0,0,0,0_0_0,950
0,0,0,0_0_0,548
0,0,0,0_0_0,2097
0,0,1,0_0_1,1324
0,0,1,0_0_1,2030
0,0,0,0_0_0,1110
0,0,0,0_0_0,2309
0,0,0,0_0_0,1879
0,0,0,0_0_0,2098
0,1,0,0_1_0,1371
0,1,0,0_1_0,225
0,0,1,0_0_1,2015
0,0,0,0_0_0,1893
0,0,0,0_0_0,192
0,1,0,0_1_0,474
0,0,1,0_0_1,2468
0,0,0,0_0_0,339
0,0,0,0_0_0,870
0,0,0,0_0_0,2104
0,1,0,0_1_0,2661
0,0,0,0_0_0,2166
0,0,0,0_0_0,1142
0,0,0,0_0_0,944
0,0,1,0_0_1,1119
0,0,0,0_0_0,1909
0,0,0,0_0_0,1013
0,1,0,0_1_0,2569
0,0,0,0_0_0,2069
0,1,0,0_1_0,2666
0,0,0,0_0_0,597
0,0,0,0_0_0,2594
0,1,0,0_1_0,2255
0,0,0,0_0_0,488
0,0,0,0_0_0,461
0,0,0,0_0_0,2405
0,0,0,0_0_0,280
0,0,0,0_0_0,1131
0,0,0,0_0_0,1713
0,0,0,0_0_0,897
0,0,0,0_0_0,2070
0,0,0,0_0_0,2494
0,1,0,0_1_0,641
0,1,0,0_1_0,635
0,0,0,0_0_0,151
0,0,0,0_0_0,2453
0,0,1,0_0_1,2201
0,0,0,0_0_0,1561
0,0,0,0_0_0,2297
0,0,0,0_0_0,2023
0,0,0,0_0_0,1937
0,0,0,0_0_0,441
0,0,0,0_0_0,2239
0,0,0,0_0_0,1160
0,0,1,0_0_1,949
0,0,0,0_0_0,2640
0,0,0,0_0_0,2312
0,0,0,0_0_0,667
0,0,0,0_0_0,1990
0,0,0,0_0_0,1682
0,0,0,0_0_0,2294
0,1,0,0_1_0,2058
0,0,0,0_0_0,1311
0,0,0,0_0_0,1733
0,0,0,0_0_0,651
0,0,0,0_0_0,69
0,0,0,0_0_0,1174
0,0,0,0_0_0,2553
0,0,0,0_0_0,1455
0,0,0,0_0_0,1697
0,0,0,0_0_0,1192
0,1,0,0_1_0,369
0,0,0,0_0_0,2136
0,1,0,0_1_0,2692
0,0,0,0_0_0,2189
0,0,0,0_0_0,2154
0,0,0,0_0_0,446
0,0,0,0_0_0,1246
0,0,0,0_0_0,2615
0,0,1,0_0_1,1195
0,0,1,0_0_1,149
0,0,0,0_0_0,2423
0,0,0,0_0_0,2119
0,0,1,0_0_1,822
0,0,0,0_0_0,2190
0,0,1,0_0_1,1259
0,0,0,0_0_0,1635
0,0,0,0_0_0,1448
0,1,0,0_1_0,780
0,0,0,0_0_0,2689
0,0,0,0_0_0,398
0,0,0,0_0_0,2005
0,0,0,0_0_0,1732
0,0,0,0_0_0,1515
0,0,0,0_0_0,2035
0,0,1,0_0_1,1156
0,0,1,0_0_1,1797
0,0,0,0_0_0,1367
0,0,1,0_0_1,2282
0,0,0,0_0_0,997
0,0,0,0_0_0,1441
0,0,0,0_0_0,2195
0,0,0,0_0_0,386
0,0,0,0_0_0,854
0,0,0,0_0_0,1587
0,0,0,0_0_0,2680
0,0,0,0_0_0,2427
0,0,0,0_0_0,1015
0,0,0,0_0_0,717
0,0,0,0_0_0,146
0,0,0,0_0_0,715
0,0,0,0_0_0,941
0,0,0,0_0_0,1618
0,1,1,0_1_1,2619
0,0,0,0_0_0,1846
0,0,0,0_0_0,129
0,0,0,0_0_0,1425
0,0,0,0_0_0,1345
0,0,0,0_0_0,1807
0,0,0,0_0_0,496
0,0,0,0_0_0,1976
0,0,0,0_0_0,2100
0,0,0,0_0_0,61
0,0,0,0_0_0,628
0,0,0,0_0_0,2196
0,0,0,0_0_0,303
0,0,0,0_0_0,2547
0,0,0,0_0_0,2424
0,0,0,0_0_0,329
0,0,1,0_0_1,2027
0,0,0,0_0_0,130
0,0,0,0_0_0,300
0,0,0,0_0_0,2344
0,0,0,0_0_0,1783
0,0,0,0_0_0,2039
0,0,1,0_0_1,338
0,0,1,0_0_1,409
0,0,0,0_0_0,2655
0,0,0,0_0_0,1313
0,1,0,0_1_0,832
0,0,1,0_0_1,463
0,0,1,0_0_1,1984
0,0,0,0_0_0,402
0,0,0,0_0_0,2470
0,0,0,0_0_0,1574
0,0,0,0_0_0,656
0,0,0,0_0_0,1769
0,0,0,0_0_0,2325
0,0,0,0_0_0,2474
0,0,1,0_0_1,1120
0,0,0,0_0_0,1920
0,0,1,0_0_1,943
0,0,1,0_0_1,794
0,1,0,0_1_0,959
0,0,0,0_0_0,1929
0,1,0,0_1_0,117
0,0,0,0_0_0,260
0,0,0,0_0_0,781
0,0,0,0_0_0,1850
0,0,1,0_0_1,1899
0,0,0,0_0_0,2510
0,0,0,0_0_0,1363
0,0,0,0_0_0,670
0,0,0,0_0_0,2213
0,0,0,0_0_0,1968
0,0,0,0_0_0,1312
0,0,0,0_0_0,1973
0,0,0,0_0_0,104
0,0,0,0_0_0,574
0,0,0,0_0_0,503
0,0,0,0_0_0,642
0,1,0,0_1_0,2429
0,0,0,0_0_0,2264
0,0,0,0_0_0,1666
0,0,1,0_0_1,643
0,0,0,0_0_0,763
0,0,0,0_0_0,1076
0,0,0,0_0_0,968
0,0,0,0_0_0,459
0,0,0,0_0_0,1129
0,0,0,0_0_0,2138
0,0,0,0_0_0,172
0,0,0,0_0_0,1614
0,0,0,0_0_0,1508
0,0,0,0_0_0,350
0,0,0,0_0_0,2293
0,1,0,0_1_0,560
0,0,0,0_0_0,619
0,0,0,0_0_0,1572
0,0,0,0_0_0,1824
0,0,0,0_0_0,399
0,0,0,0_0_0,621
0,0,1,0_0_1,1578
0,0,0,0_0_0,577
0,0,0,0_0_0,2075
0,0,0,0_0_0,2414
0,0,0,0_0_0,224
0,0,0,0_0_0,429
0,0,0,0_0_0,1453
0,0,0,0_0_0,0
0,1,0,0_1_0,284
0,0,0,0_0_0,1670
0,0,0,0_0_0,696
0,0,0,0_0_0,2684
0,0,0,0_0_0,2407
0,0,0,0_0_0,414
0,0,1,0_0_1,1465
0,0,0,0_0_0,210
0,0,1,0_0_1,1856
0,0,0,0_0_0,707
0,0,0,0_0_0,1379
0,0,0,0_0_0,1405
0,0,0,0_0_0,1137
1,0,0,1_0_0,2354
1,0,0,1_0_0,1818
1,0,1,1_0_1,737
1,0,0,1_0_0,826
1,0,0,1_0_0,1784
1,0,0,1_0_0,2057
1,0,0,1_0_0,1459
1,0,0,1_0_0,171
1,0,0,1_0_0,1248
1,0,0,1_0_0,663
1,0,0,1_0_0,1878
1,0,0,1_0_0,803
1,1,0,1_1_0,1544
1,0,0,1_0_0,1628
1,0,0,1_0_0,2607
1,0,0,1_0_0,2473
1,0,0,1_0_0,1522
1,0,0,1_0_0,859
1,0,0,1_0_0,2500
1,0,0,1_0_0,1930
1,0,0,1_0_0,750
1,0,0,1_0_0,791
1,0,1,1_0_1,1787
1,0,0,1_0_0,1349
1,0,0,1_0_0,2506
1,0,0,1_0_0,1958
1,0,0,1_0_0,141
1,0,1,1_0_1,2300
1,0,0,1_0_0,636
1,0,0,1_0_0,2321
1,0,0,1_0_0,2507
1,0,1,1_0_1,2554
1,0,1,1_0_1,2184
1,0,1,1_0_1,1251
1,0,0,1_0_0,575
1,0,0,1_0_0,1652
1,0,0,1_0_0,2425
1,0,0,1_0_0,2645
1,0,0,1_0_0,2045
1,0,1,1_0_1,519
1,0,0,1_0_0,45
1,1,0,1_1_0,947
1,0,0,1_0_0,1834
1,0,0,1_0_0,1567
1,0,1,1_0_1,2521
1,0,0,1_0_0,41
1,0,0,1_0_0,1537
1,0,0,1_0_0,1319
1,0,0,1_0_0,2040
1,0,0,1_0_0,512
1,0,0,1_0_0,1341
1,0,0,1_0_0,51
1,0,0,1_0_0,1004
1,0,0,1_0_0,199
1,0,0,1_0_0,1862
1,1,1,1_1_1,1600
1,1,1,1_1_1,2639
1,1,0,1_1_0,954
1,0,0,1_0_0,2426
1,0,0,1_0_0,2091
1,0,0,1_0_0,2096
1,0,0,1_0_0,1885
1,0,0,1_0_0,759
1,0,1,1_0_1,65
1,0,0,1_0_0,2278
1,0,0,1_0_0,2044
1,0,0,1_0_0,2273
1,0,0,1_0_0,1867
1,0,0,1_0_0,218
1,0,0,1_0_0,62
1,0,0,1_0_0,1444
1,0,0,1_0_0,1813
1,0,0,1_0_0,507
1,0,1,1_0_1,1078
1,0,0,1_0_0,2283
1,0,0,1_0_0,14
1,0,0,1_0_0,2381
1,0,0,1_0_0,2287
1,0,1,1_0_1,1524
1,0,0,1_0_0,910
1,0,0,1_0_0,1488
1,0,0,1_0_0,888
1,0,0,1_0_0,1623
1,0,0,1_0_0,286
1,0,1,1_0_1,2292
1,0,0,1_0_0,2578
1,0,0,1_0_0,2648
1,0,0,1_0_0,740
1,1,0,1_1_0,2688
1,1,0,1_1_0,2209
1,0,0,1_0_0,1435
1,0,0,1_0_0,1995
1,0,0,1_0_0,366
1,0,0,1_0_0,1740
1,0,0,1_0_0,1542
1,0,1,1_0_1,1939
1,0,0,1_0_0,1117
1,0,0,1_0_0,1159
1,0,0,1_0_0,2575
1,0,0,1_0_0,2611
1,0,0,1_0_0,33
1,1,0,1_1_0,1165
1,0,0,1_0_0,734
1,0,0,1_0_0,175
1,0,0,1_0_0,2240
1,0,0,1_0_0,2527
1,0,0,1_0_0,1346
1,1,0,1_1_0,2676
1,0,0,1_0_0,1859
1,0,0,1_0_0,1342
1,0,0,1_0_0,335
1,0,0,1_0_0,1183
1,0,0,1_0_0,1351
1,0,1,1_0_1,1693
1,0,0,1_0_0,1062
1,0,0,1_0_0,601
1,0,0,1_0_0,1285
1,0,0,1_0_0,1931
1,0,0,1_0_0,236
1,0,0,1_0_0,109
1,0,0,1_0_0,2352
1,0,0,1_0_0,1743
1,0,0,1_0_0,2579
1,0,0,1_0_0,35
