label1,label2,label3,label,node
0,0,0,0_0_0,13424
0,0,0,0_0_0,11686
0,1,0,0_1_0,12646
0,1,0,0_1_0,1400
0,1,0,0_1_0,17629
0,1,0,0_1_0,18055
0,1,0,0_1_0,17896
0,1,0,0_1_0,12304
0,0,0,0_0_0,17463
0,1,0,0_1_0,14731
0,0,0,0_0_0,19562
0,0,0,0_0_0,3219
0,0,0,0_0_0,8585
0,1,0,0_1_0,11229
0,1,0,0_1_0,5475
0,0,0,0_0_0,4579
0,1,0,0_1_0,12848
0,1,0,0_1_0,9878
0,1,0,0_1_0,10623
0,0,0,0_0_0,785
0,1,0,0_1_0,8970
0,0,0,0_0_0,14040
0,0,0,0_0_0,976
0,0,0,0_0_0,15126
0,1,0,0_1_0,3860
0,1,0,0_1_0,17550
0,0,0,0_0_0,8425
0,0,0,0_0_0,12984
0,0,0,0_0_0,17663
0,1,0,0_1_0,15046
0,0,0,0_0_0,6160
0,0,0,0_0_0,11286
0,1,0,0_1_0,13955
0,1,0,0_1_0,8707
0,1,0,0_1_0,9505
0,0,0,0_0_0,9243
0,1,0,0_1_0,6710
0,0,0,0_0_0,7940
0,0,0,0_0_0,16705
0,1,0,0_1_0,14688
0,1,0,0_1_0,13810
0,1,0,0_1_0,4586
0,0,0,0_0_0,2686
0,0,0,0_0_0,2899
0,0,0,0_0_0,18993
0,1,0,0_1_0,14633
0,1,0,0_1_0,4798
0,0,0,0_0_0,6887
0,1,0,0_1_0,5312
0,0,0,0_0_0,6948
0,0,0,0_0_0,501
0,1,0,0_1_0,8165
0,1,0,0_1_0,17073
0,1,0,0_1_0,9320
0,1,0,0_1_0,15031
0,0,0,0_0_0,5905
0,0,0,0_0_0,9751
0,0,0,0_0_0,8270
0,0,0,0_0_0,14451
0,0,0,0_0_0,1879
0,0,0,0_0_0,4802
0,0,0,0_0_0,3077
0,1,0,0_1_0,2509
0,1,0,0_1_0,15883
0,0,0,0_0_0,394
0,0,0,0_0_0,13584
0,0,0,0_0_0,8922
0,0,0,0_0_0,17905
0,0,0,0_0_0,437
0,0,0,0_0_0,3164
0,1,0,0_1_0,11472
0,0,0,0_0_0,12289
0,0,0,0_0_0,14475
0,0,0,0_0_0,15656
0,0,0,0_0_0,1940
0,0,0,0_0_0,17758
0,1,0,0_1_0,14420
0,0,0,0_0_0,8084
0,0,0,0_0_0,17974
0,0,0,0_0_0,7600
0,1,0,0_1_0,19621
0,1,0,0_1_0,3753
0,1,0,0_1_0,8282
0,1,0,0_1_0,18425
0,1,0,0_1_0,19312
0,1,0,0_1_0,1586
0,0,0,0_0_0,5700
0,0,0,0_0_0,7170
0,0,0,0_0_0,16323
0,0,0,0_0_0,125
0,1,0,0_1_0,3327
0,1,0,0_1_0,534
0,1,0,0_1_0,5599
0,0,0,0_0_0,7068
0,0,0,0_0_0,1591
0,0,0,0_0_0,14230
0,0,0,0_0_0,14940
0,0,0,0_0_0,15115
0,0,0,0_0_0,14655
