label1,label2,label3,label,node
0,1,0,0_1_0,1879
0,1,0,0_1_0,13424
0,1,0,0_1_0,4802
0,0,0,0_0_0,5599
0,1,0,0_1_0,9243
0,1,0,0_1_0,7159
0,1,0,0_1_0,14983
0,1,0,0_1_0,16705
0,1,0,0_1_0,3219
0,1,0,0_1_0,2161
0,1,0,0_1_0,4685
0,0,0,0_0_0,14420
0,0,0,0_0_0,18055
0,1,0,0_1_0,4176
0,1,0,0_1_0,8585
0,1,0,0_1_0,17663
0,1,0,0_1_0,17974
0,1,0,0_1_0,14109
0,0,0,0_0_0,13955
0,1,0,0_1_0,14213
0,1,0,0_1_0,1094
0,0,0,0_0_0,10623
0,1,0,0_1_0,10007
0,1,0,0_1_0,14040
0,1,0,0_1_0,13029
0,0,0,0_0_0,9084
0,1,0,0_1_0,7220
0,1,0,0_1_0,9997
0,0,0,0_0_0,4586
0,1,0,0_1_0,15656
0,1,0,0_1_0,7144
0,0,0,0_0_0,7597
0,0,0,0_0_0,17550
0,1,0,0_1_0,7385
0,1,0,0_1_0,17831
0,1,0,0_1_0,8084
0,0,0,0_0_0,9050
0,0,0,0_0_0,14017
0,0,0,0_0_0,6710
0,1,0,0_1_0,4670
0,1,0,0_1_0,1940
0,0,0,0_0_0,300
0,0,0,0_0_0,13371
0,1,0,0_1_0,18626
0,1,0,0_1_0,6887
0,0,0,0_0_0,11229
0,1,0,0_1_0,13036
0,1,0,0_1_0,4110
0,0,0,0_0_0,6594
0,0,0,0_0_0,15883
0,0,0,0_0_0,976
0,1,0,0_1_0,1053
0,1,0,0_1_0,4579
0,1,0,0_1_0,11506
0,1,0,0_1_0,11645
0,1,0,0_1_0,15147
0,1,0,0_1_0,14655
0,1,0,0_1_0,11209
0,1,0,0_1_0,4639
0,0,0,0_0_0,2509
0,1,0,0_1_0,5341
0,1,0,0_1_0,14475
0,0,0,0_0_0,5692
0,0,0,0_0_0,5475
0,1,0,0_1_0,19562
0,1,0,0_1_0,7141
0,1,0,0_1_0,15966
0,0,0,0_0_0,13167
0,1,0,0_1_0,8512
0,1,0,0_1_0,6160
0,0,0,0_0_0,19621
0,0,0,0_0_0,14633
0,1,0,0_1_0,5196
0,1,0,0_1_0,8165
0,1,0,0_1_0,5347
0,0,0,0_0_0,13810
0,0,0,0_0_0,14731
0,0,0,0_0_0,5266
0,0,0,0_0_0,13355
0,1,0,0_1_0,11942
0,1,0,0_1_0,14940
0,0,0,0_0_0,1400
0,1,0,0_1_0,7170
0,1,0,0_1_0,5905
0,0,0,0_0_0,5244
0,1,0,0_1_0,2687
0,1,0,0_1_0,3164
0,0,0,0_0_0,11491
0,1,0,0_1_0,5030
0,0,0,0_0_0,13660
0,1,0,0_1_0,16660
0,0,0,0_0_0,358
0,1,0,0_1_0,11686
0,1,0,0_1_0,3373
0,0,0,0_0_0,463
0,1,0,0_1_0,12044
0,0,0,0_0_0,19312
0,0,0,0_0_0,5013
0,1,0,0_1_0,9811
0,0,0,0_0_0,13329
0,1,0,0_1_0,16225
0,1,0,0_1_0,570
0,1,0,0_1_0,2872
0,1,0,0_1_0,12616
0,0,0,0_0_0,3159
0,1,0,0_1_0,8761
0,1,0,0_1_0,5867
0,1,0,0_1_0,17463
0,0,0,0_0_0,1586
0,1,0,0_1_0,15581
0,1,0,0_1_0,18993
0,0,0,0_0_0,17896
0,1,0,0_1_0,4456
0,1,0,0_1_0,8605
0,0,0,0_0_0,15046
0,1,0,0_1_0,6824
0,1,0,0_1_0,3077
0,0,0,0_0_0,13171
0,1,0,0_1_0,9458
0,1,0,0_1_0,17905
0,1,0,0_1_0,19713
0,0,0,0_0_0,5117
0,0,0,0_0_0,11123
0,0,0,0_0_0,14807
0,1,0,0_1_0,19575
0,0,0,0_0_0,13934
0,0,0,0_0_0,18
0,0,0,0_0_0,11770
0,1,0,0_1_0,19455
0,0,0,0_0_0,12984
0,1,0,0_1_0,17945
0,1,0,0_1_0,13050
0,0,0,0_0_0,1344
0,1,0,0_1_0,6948
0,0,0,0_0_0,17629
0,0,0,0_0_0,15277
0,1,0,0_1_0,7068
0,0,0,0_0_0,13047
