label1,label2,label3,label,node
0,1,0,0_1_0,582
0,0,0,0_0_0,667
0,0,0,0_0_0,1523
0,1,0,0_1_0,3144
0,1,0,0_1_0,1896
0,1,0,0_1_0,2703
0,0,0,0_0_0,3252
0,1,0,0_1_0,254
0,1,0,0_1_0,1319
0,1,0,0_1_0,2911
0,1,0,0_1_0,66
0,1,0,0_1_0,2782
0,1,0,0_1_0,2259
0,0,0,0_0_0,3241
0,1,0,0_1_0,1002
0,1,0,0_1_0,2861
0,0,0,0_0_0,3165
0,1,0,0_1_0,1603
0,0,0,0_0_0,3253
0,1,0,0_1_0,540
0,1,0,0_1_0,1770
0,0,0,0_0_0,2469
0,0,0,0_0_0,2099
0,1,0,0_1_0,2925
0,1,0,0_1_0,3017
0,0,0,0_0_0,3169
0,1,0,0_1_0,955
0,0,0,0_0_0,2947
0,0,0,0_0_0,1707
0,1,0,0_1_0,1035
0,1,0,0_1_0,2895
0,1,0,0_1_0,2629
0,1,0,0_1_0,1410
0,1,0,0_1_0,2067
0,1,0,0_1_0,2105
0,0,0,0_0_0,1289
0,1,0,0_1_0,717
0,1,0,0_1_0,422
0,1,0,0_1_0,1462
0,1,0,0_1_0,476
0,1,0,0_1_0,2309
0,1,0,0_1_0,1324
0,0,0,0_0_0,2960
0,1,0,0_1_0,2350
0,1,0,0_1_0,292
0,1,0,0_1_0,3107
0,1,0,0_1_0,1894
0,1,0,0_1_0,1052
0,1,0,0_1_0,819
0,1,0,0_1_0,2396
0,1,0,0_1_0,1363
0,1,0,0_1_0,877
0,1,0,0_1_0,2366
0,0,0,0_0_0,1456
0,1,0,0_1_0,1155
0,1,0,0_1_0,1867
0,0,0,0_0_0,3205
0,1,0,0_1_0,1441
0,1,0,0_1_0,1708
0,1,0,0_1_0,404
0,1,0,0_1_0,2790
0,1,0,0_1_0,1200
0,0,0,0_0_0,2034
0,0,0,0_0_0,179
0,0,0,0_0_0,2092
0,1,0,0_1_0,670
0,0,0,0_0_0,490
0,1,0,0_1_0,1117
0,1,0,0_1_0,3286
0,1,0,0_1_0,1567
0,0,0,0_0_0,1783
0,1,0,0_1_0,2732
0,1,0,0_1_0,156
0,1,0,0_1_0,1625
0,1,0,0_1_0,1836
0,0,0,0_0_0,589
0,0,0,0_0_0,3096
0,0,0,0_0_0,1367
0,1,0,0_1_0,2054
0,1,0,0_1_0,843
0,1,0,0_1_0,265
0,0,0,0_0_0,3260
0,0,0,0_0_0,223
0,1,0,0_1_0,1440
0,1,0,0_1_0,906
0,0,0,0_0_0,2890
0,0,0,0_0_0,459
0,1,0,0_1_0,1970
0,1,0,0_1_0,904
0,1,0,0_1_0,1809
0,0,0,0_0_0,3094
0,1,0,0_1_0,588
0,1,0,0_1_0,1004
0,1,0,0_1_0,438
0,0,0,0_0_0,2337
0,1,0,0_1_0,2619
0,1,0,0_1_0,2579
0,0,0,0_0_0,2256
0,1,0,0_1_0,1286
0,1,0,0_1_0,1449
0,0,0,0_0_0,160
0,0,0,0_0_0,2696
0,1,0,0_1_0,2475
0,1,0,0_1_0,3047
0,0,0,0_0_0,3003
0,0,0,0_0_0,3097
0,1,0,0_1_0,2921
0,1,0,0_1_0,2984
0,1,0,0_1_0,519
0,1,0,0_1_0,2066
0,0,0,0_0_0,580
0,0,0,0_0_0,369
0,1,0,0_1_0,205
0,1,0,0_1_0,2357
0,1,0,0_1_0,1033
0,0,0,0_0_0,1420
0,1,0,0_1_0,3025
0,0,0,0_0_0,2454
0,1,0,0_1_0,1718
0,1,0,0_1_0,430
0,0,0,0_0_0,1537
0,0,0,0_0_0,2539
0,0,0,0_0_0,973
0,1,0,0_1_0,3153
0,1,0,0_1_0,2028
0,1,0,0_1_0,2874
0,1,0,0_1_0,2097
0,0,0,0_0_0,2251
0,1,0,0_1_0,2738
0,0,0,0_0_0,658
0,1,0,0_1_0,3156
0,1,0,0_1_0,3187
0,1,0,0_1_0,1119
0,1,0,0_1_0,564
0,0,0,0_0_0,1192
0,0,0,0_0_0,983
0,1,0,0_1_0,1924
0,1,0,0_1_0,620
0,1,0,0_1_0,1021
0,1,0,0_1_0,1264
0,1,0,0_1_0,998
0,0,0,0_0_0,1650
0,1,0,0_1_0,81
0,1,0,0_1_0,491
0,1,0,0_1_0,2976
0,1,0,0_1_0,1165
0,0,0,0_0_0,933
0,1,0,0_1_0,1013
0,0,0,0_0_0,1524
0,1,0,0_1_0,567
0,1,0,0_1_0,487
0,1,0,0_1_0,935
0,0,0,0_0_0,1365
0,1,0,0_1_0,3224
0,0,0,0_0_0,1830
0,0,0,0_0_0,3059
0,0,0,0_0_0,3058
0,1,0,0_1_0,1046
0,1,0,0_1_0,2050
0,1,0,0_1_0,2414
0,1,0,0_1_0,722
0,1,0,0_1_0,2950
0,1,0,0_1_0,411
0,1,0,0_1_0,303
0,1,0,0_1_0,938
0,1,0,0_1_0,2842
0,1,0,0_1_0,871
0,0,0,0_0_0,2406
0,1,0,0_1_0,2361
0,0,0,0_0_0,602
0,0,0,0_0_0,3082
0,1,0,0_1_0,2494
0,0,0,0_0_0,2543
0,0,0,0_0_0,3320
0,1,0,0_1_0,1395
0,1,0,0_1_0,2166
0,1,0,0_1_0,1075
0,1,0,0_1_0,2334
0,0,0,0_0_0,399
0,0,0,0_0_0,35
0,1,0,0_1_0,1072
0,1,0,0_1_0,1167
0,1,0,0_1_0,1704
0,1,0,0_1_0,2512
0,0,0,0_0_0,1623
0,0,0,0_0_0,1505
0,1,0,0_1_0,2404
0,1,0,0_1_0,661
0,1,0,0_1_0,649
0,0,0,0_0_0,1631
0,1,0,0_1_0,2991
0,0,0,0_0_0,3268
0,0,0,0_0_0,1632
0,0,0,0_0_0,861
0,0,0,0_0_0,1862
0,0,0,0_0_0,1674
0,1,0,0_1_0,2142
0,1,0,0_1_0,1757
0,0,0,0_0_0,943
0,0,0,0_0_0,1810
0,0,0,0_0_0,2010
0,1,0,0_1_0,2562
0,1,0,0_1_0,1023
0,1,0,0_1_0,1983
0,1,0,0_1_0,2497
0,1,0,0_1_0,3148
0,1,0,0_1_0,2752
0,1,0,0_1_0,485
0,1,0,0_1_0,876
0,1,0,0_1_0,2085
0,0,0,0_0_0,2037
0,1,0,0_1_0,1097
0,1,0,0_1_0,1000
0,0,0,0_0_0,2915
0,1,0,0_1_0,707
0,0,0,0_0_0,2693
0,1,0,0_1_0,783
0,0,0,0_0_0,3131
0,1,0,0_1_0,132
0,1,0,0_1_0,1130
0,1,0,0_1_0,2210
0,1,0,0_1_0,1932
0,1,0,0_1_0,1709
0,0,0,0_0_0,45
0,0,0,0_0_0,939
0,0,0,0_0_0,1496
0,1,0,0_1_0,498
0,1,0,0_1_0,307
0,0,0,0_0_0,1298
0,0,0,0_0_0,1314
0,0,0,0_0_0,832
0,1,0,0_1_0,1407
0,1,0,0_1_0,2109
0,0,0,0_0_0,1475
0,0,0,0_0_0,3182
0,1,0,0_1_0,1227
0,1,0,0_1_0,177
0,1,0,0_1_0,1111
0,0,0,0_0_0,2280
0,1,0,0_1_0,1279
0,1,0,0_1_0,2627
0,0,0,0_0_0,1394
0,1,0,0_1_0,1761
0,1,0,0_1_0,409
0,1,0,0_1_0,2644
0,0,0,0_0_0,282
0,0,0,0_0_0,3035
0,1,0,0_1_0,656
0,0,0,0_0_0,1442
0,0,0,0_0_0,364
0,1,0,0_1_0,942
0,1,0,0_1_0,2104
0,1,0,0_1_0,1600
0,1,0,0_1_0,2363
0,1,0,0_1_0,2252
0,1,0,0_1_0,1768
0,0,0,0_0_0,1166
0,0,0,0_0_0,3177
0,1,0,0_1_0,2993
0,1,0,0_1_0,828
0,0,0,0_0_0,1624
0,1,0,0_1_0,2909
0,1,0,0_1_0,342
0,0,0,0_0_0,1497
0,1,0,0_1_0,2187
0,0,0,0_0_0,2929
0,1,0,0_1_0,3128
0,0,0,0_0_0,337
0,0,0,0_0_0,2003
0,1,0,0_1_0,451
0,1,0,0_1_0,2496
0,1,0,0_1_0,2222
0,1,0,0_1_0,1772
0,0,0,0_0_0,2722
0,0,0,0_0_0,838
0,0,0,0_0_0,3008
0,1,0,0_1_0,465
0,1,0,0_1_0,2827
0,1,0,0_1_0,677
0,1,0,0_1_0,1580
0,0,0,0_0_0,1269
0,0,0,0_0_0,3291
0,1,0,0_1_0,2737
0,1,0,0_1_0,1666
0,1,0,0_1_0,854
0,0,0,0_0_0,1628
0,0,0,0_0_0,1270
0,0,0,0_0_0,1974
0,1,0,0_1_0,2339
0,0,0,0_0_0,3127
0,0,0,0_0_0,67
0,1,0,0_1_0,990
0,0,0,0_0_0,139
0,1,0,0_1_0,1076
0,1,0,0_1_0,2815
0,1,0,0_1_0,1925
0,0,0,0_0_0,1304
0,1,0,0_1_0,2234
0,0,0,0_0_0,2521
0,0,0,0_0_0,176
0,0,0,0_0_0,1159
0,1,0,0_1_0,2455
0,1,0,0_1_0,1729
0,1,0,0_1_0,300
0,1,0,0_1_0,414
0,1,0,0_1_0,1122
0,1,0,0_1_0,993
0,1,0,0_1_0,473
0,1,0,0_1_0,2971
0,1,0,0_1_0,1123
0,0,0,0_0_0,2566
0,0,0,0_0_0,2344
0,1,0,0_1_0,38
0,1,0,0_1_0,1135
0,0,0,0_0_0,1993
0,1,0,0_1_0,2606
0,0,0,0_0_0,3032
0,0,0,0_0_0,1204
0,1,0,0_1_0,2614
0,0,0,0_0_0,47
0,0,0,0_0_0,2201
0,1,0,0_1_0,1818
0,1,0,0_1_0,833
0,1,0,0_1_0,18
0,1,0,0_1_0,954
0,1,0,0_1_0,1990
0,1,0,0_1_0,715
0,0,0,0_0_0,3183
0,0,0,0_0_0,696
0,1,0,0_1_0,2565
0,1,0,0_1_0,2273
0,1,0,0_1_0,188
0,0,0,0_0_0,1909
1,0,0,1_0_0,1634
1,0,0,1_0_0,2747
1,0,0,1_0_0,1435
1,1,0,1_1_0,3105
1,0,0,1_0_0,2464
1,1,0,1_1_0,2238
1,0,0,1_0_0,2635
1,0,0,1_0_0,2746
1,1,0,1_1_0,767
1,0,0,1_0_0,2153
1,1,0,1_1_0,1840
1,0,0,1_0_0,3168
1,1,0,1_1_0,866
1,0,0,1_0_0,189
1,1,0,1_1_0,1926
1,0,0,1_0_0,3265
1,0,0,1_0_0,886
1,0,0,1_0_0,1725
1,0,0,1_0_0,2749
1,1,0,1_1_0,1177
1,0,0,1_0_0,936
1,1,0,1_1_0,810
1,0,0,1_0_0,791
1,0,0,1_0_0,597
1,0,0,1_0_0,3084
1,0,0,1_0_0,545
1,1,0,1_1_0,2917
1,1,0,1_1_0,893
1,1,0,1_1_0,3322
1,1,0,1_1_0,1649
1,0,0,1_0_0,2712
1,1,0,1_1_0,758
1,1,0,1_1_0,2133
1,0,0,1_0_0,1448
1,1,0,1_1_0,37
1,1,0,1_1_0,2758
1,0,0,1_0_0,3076
1,0,0,1_0_0,211
1,0,0,1_0_0,61
1,0,0,1_0_0,2132
1,1,0,1_1_0,621
1,1,0,1_1_0,1216
1,1,0,1_1_0,2540
1,1,0,1_1_0,384
1,0,0,1_0_0,446
1,0,0,1_0_0,2729
1,0,0,1_0_0,2332
1,0,0,1_0_0,458
1,0,0,1_0_0,1861
1,0,0,1_0_0,3283
1,0,0,1_0_0,642
1,0,0,1_0_0,2120
1,1,0,1_1_0,41
1,1,0,1_1_0,1828
1,0,0,1_0_0,1845
1,0,0,1_0_0,2364
1,0,0,1_0_0,2506
1,0,0,1_0_0,1751
1,1,0,1_1_0,2526
1,1,0,1_1_0,961
1,1,0,1_1_0,1405
1,0,0,1_0_0,1230
1,0,0,1_0_0,3110
1,1,0,1_1_0,750
1,1,0,1_1_0,432
1,0,0,1_0_0,3263
1,1,0,1_1_0,643
1,0,0,1_0_0,860
1,0,0,1_0_0,2673
1,0,0,1_0_0,1153
1,0,0,1_0_0,1875
1,0,0,1_0_0,772
1,0,0,1_0_0,1719
