label1,label2,label3,label,node
0,0,0,0_0_0,1445
0,0,0,0_0_0,1762
0,0,0,0_0_0,2362
0,0,0,0_0_0,1358
0,0,0,0_0_0,442
0,0,0,0_0_0,154
0,0,0,0_0_0,627
0,0,0,0_0_0,1765
0,0,0,0_0_0,919
0,0,0,0_0_0,902
0,0,0,0_0_0,2518
0,0,0,0_0_0,90
0,0,0,0_0_0,758
0,0,0,0_0_0,1209
0,0,0,0_0_0,768
0,0,0,0_0_0,286
0,0,0,0_0_0,602
0,0,0,0_0_0,588
0,0,0,0_0_0,1135
0,1,0,0_1_0,1024
0,0,1,0_0_1,549
0,0,0,0_0_0,368
0,0,0,0_0_0,933
0,0,0,0_0_0,1382
0,0,0,0_0_0,1562
0,0,0,0_0_0,1071
0,0,0,0_0_0,1731
0,0,0,0_0_0,2248
0,0,0,0_0_0,2398
0,0,0,0_0_0,652
0,0,0,0_0_0,1737
0,0,0,0_0_0,33
0,0,0,0_0_0,2678
0,1,0,0_1_0,986
0,0,0,0_0_0,1822
0,0,1,0_0_1,1134
0,0,0,0_0_0,1509
0,0,0,0_0_0,688
0,0,1,0_0_1,2120
0,1,0,0_1_0,1582
0,0,0,0_0_0,1132
0,0,0,0_0_0,1615
0,0,0,0_0_0,1627
0,0,0,0_0_0,2672
0,0,0,0_0_0,111
0,0,1,0_0_1,2536
0,0,0,0_0_0,1766
0,0,0,0_0_0,2271
0,0,0,0_0_0,223
0,0,0,0_0_0,1950
0,0,0,0_0_0,1721
0,1,0,0_1_0,545
0,1,0,0_1_0,422
0,0,0,0_0_0,956
0,0,0,0_0_0,341
0,0,0,0_0_0,1123
0,0,0,0_0_0,72
0,0,0,0_0_0,534
0,0,0,0_0_0,2460
0,0,0,0_0_0,189
0,0,0,0_0_0,2065
0,0,0,0_0_0,580
0,0,1,0_0_1,2448
0,0,1,0_0_1,1103
0,0,0,0_0_0,1684
0,1,0,0_1_0,585
0,0,0,0_0_0,1046
0,0,0,0_0_0,2684
0,0,0,0_0_0,1051
0,0,0,0_0_0,2250
0,0,1,0_0_1,2040
0,0,0,0_0_0,892
0,0,0,0_0_0,764
0,0,0,0_0_0,1532
0,0,1,0_0_1,1757
0,0,0,0_0_0,567
0,0,0,0_0_0,744
0,0,0,0_0_0,336
0,0,0,0_0_0,2648
0,0,0,0_0_0,1214
0,0,0,0_0_0,364
0,0,0,0_0_0,646
0,0,1,0_0_1,1665
0,0,0,0_0_0,232
0,0,0,0_0_0,151
0,0,0,0_0_0,1966
0,1,0,0_1_0,44
0,0,0,0_0_0,823
0,0,0,0_0_0,1383
0,0,0,0_0_0,1727
0,0,0,0_0_0,1760
0,1,0,0_1_0,721
0,0,0,0_0_0,1687
0,0,0,0_0_0,1449
0,0,0,0_0_0,2587
0,0,0,0_0_0,2651
0,0,0,0_0_0,2541
0,0,0,0_0_0,310
0,0,0,0_0_0,1075
0,0,0,0_0_0,569
0,0,0,0_0_0,47
0,0,0,0_0_0,361
0,0,0,0_0_0,686
0,0,0,0_0_0,2698
0,0,1,0_0_1,1229
0,0,0,0_0_0,819
0,0,0,0_0_0,2473
0,0,0,0_0_0,1944
0,0,0,0_0_0,1299
0,0,0,0_0_0,2366
0,0,0,0_0_0,1145
0,0,0,0_0_0,1042
0,0,1,0_0_1,1161
0,0,0,0_0_0,1474
0,0,0,0_0_0,2417
0,0,0,0_0_0,726
0,0,0,0_0_0,2380
