label1,label2,label3,label,node
0,1,0,0_1_0,1358
0,1,0,0_1_0,2248
0,1,0,0_1_0,1542
0,1,0,0_1_0,310
0,1,0,0_1_0,1950
0,1,0,0_1_0,1810
0,1,0,0_1_0,1765
0,1,0,0_1_0,1229
0,1,0,0_1_0,1955
0,0,0,0_0_0,898
0,1,0,0_1_0,2518
0,1,0,0_1_0,368
0,1,0,0_1_0,1103
0,1,0,0_1_0,833
0,1,0,0_1_0,1966
0,1,0,0_1_0,1135
0,1,0,0_1_0,364
0,1,0,0_1_0,735
0,1,0,0_1_0,507
0,0,0,0_0_0,986
0,1,1,0_1_1,2130
0,0,0,0_0_0,44
0,1,0,0_1_0,534
0,1,0,0_1_0,442
0,1,0,0_1_0,1067
0,1,0,0_1_0,1042
0,1,0,0_1_0,1441
0,1,0,0_1_0,1445
0,1,0,0_1_0,458
0,1,0,0_1_0,2250
0,1,0,0_1_0,1623
0,1,0,0_1_0,1737
0,1,0,0_1_0,567
0,1,0,0_1_0,1577
0,1,0,0_1_0,582
0,1,1,0_1_1,2246
0,1,0,0_1_0,2376
0,1,0,0_1_0,177
0,1,1,0_1_1,2247
0,0,0,0_0_0,1024
0,1,0,0_1_0,1721
0,1,0,0_1_0,1046
0,1,0,0_1_0,739
0,1,0,0_1_0,1558
0,1,0,0_1_0,2146
0,1,1,0_1_1,1740
0,1,0,0_1_0,2448
0,0,0,0_0_0,1835
0,1,0,0_1_0,2269
0,1,0,0_1_0,676
0,0,0,0_0_0,187
0,1,0,0_1_0,154
0,1,0,0_1_0,33
0,1,0,0_1_0,1679
0,0,0,0_0_0,2633
0,1,0,0_1_0,936
0,1,0,0_1_0,933
0,1,0,0_1_0,580
0,1,0,0_1_0,1756
0,1,0,0_1_0,429
0,1,0,0_1_0,1226
0,1,0,0_1_0,1171
0,1,1,0_1_1,2270
0,1,1,0_1_1,39
0,1,0,0_1_0,1902
0,1,0,0_1_0,1071
0,0,0,0_0_0,2701
0,1,0,0_1_0,998
0,1,0,0_1_0,1795
0,1,0,0_1_0,472
0,1,1,0_1_1,1090
0,0,0,0_0_0,692
0,1,0,0_1_0,1944
0,1,0,0_1_0,577
0,1,1,0_1_1,2182
0,0,0,0_0_0,721
0,1,0,0_1_0,111
0,1,0,0_1_0,2564
0,1,0,0_1_0,1185
0,1,0,0_1_0,327
0,1,0,0_1_0,370
0,1,0,0_1_0,2221
0,1,1,0_1_1,218
0,1,0,0_1_0,47
0,1,0,0_1_0,2501
0,1,0,0_1_0,1183
0,1,0,0_1_0,392
0,1,0,0_1_0,602
0,0,0,0_0_0,2629
0,0,0,0_0_0,422
0,0,0,0_0_0,954
0,1,0,0_1_0,726
0,1,0,0_1_0,2065
0,1,0,0_1_0,2240
0,0,0,0_0_0,545
0,1,0,0_1_0,1684
0,1,0,0_1_0,1383
0,1,0,0_1_0,807
0,1,0,0_1_0,1354
0,1,0,0_1_0,1015
0,1,0,0_1_0,1147
0,1,0,0_1_0,91
0,1,0,0_1_0,2466
0,0,0,0_0_0,560
0,1,1,0_1_1,732
0,1,0,0_1_0,764
0,1,0,0_1_0,540
0,1,0,0_1_0,1051
0,1,0,0_1_0,411
0,1,0,0_1_0,650
0,0,0,0_0_0,462
0,1,0,0_1_0,1382
0,1,1,0_1_1,2698
0,0,0,0_0_0,713
0,1,0,0_1_0,2220
0,1,0,0_1_0,2120
