label1,label2,label3,label,node
0,0,0,0_0_0,11372
0,1,0,0_1_0,16054
0,0,0,0_0_0,16214
0,0,0,0_0_0,9808
0,0,0,0_0_0,15952
0,0,0,0_0_0,17499
0,1,0,0_1_0,4620
0,0,0,0_0_0,2673
0,0,0,0_0_0,8077
0,0,0,0_0_0,17418
0,0,0,0_0_0,616
0,0,0,0_0_0,8058
0,0,0,0_0_0,15704
0,0,0,0_0_0,18728
0,0,0,0_0_0,9103
0,0,0,0_0_0,17281
0,0,0,0_0_0,17019
0,0,0,0_0_0,16958
0,1,0,0_1_0,13170
0,0,0,0_0_0,8093
0,0,0,0_0_0,5515
0,0,0,0_0_0,14603
0,1,0,0_1_0,13585
0,0,0,0_0_0,12256
0,0,0,0_0_0,2361
0,0,0,0_0_0,14515
0,0,0,0_0_0,6075
0,0,0,0_0_0,12673
0,0,0,0_0_0,15498
0,0,0,0_0_0,14721
0,0,0,0_0_0,8608
0,1,0,0_1_0,2847
0,1,0,0_1_0,14942
0,0,0,0_0_0,13730
0,1,0,0_1_0,18277
0,0,0,0_0_0,17026
0,0,0,0_0_0,12298
0,1,0,0_1_0,4493
0,0,0,0_0_0,15577
0,0,0,0_0_0,4262
0,0,0,0_0_0,909
0,0,0,0_0_0,18973
0,0,0,0_0_0,11024
0,1,0,0_1_0,2152
0,0,0,0_0_0,7830
0,1,0,0_1_0,5711
0,0,0,0_0_0,12573
0,0,0,0_0_0,9842
0,0,0,0_0_0,4743
0,0,0,0_0_0,5463
0,0,0,0_0_0,17025
0,0,0,0_0_0,15713
0,0,0,0_0_0,15605
0,1,0,0_1_0,6771
0,0,0,0_0_0,11809
0,1,0,0_1_0,19141
0,0,0,0_0_0,16685
0,1,0,0_1_0,13803
0,0,0,0_0_0,7294
0,0,0,0_0_0,11892
0,0,0,0_0_0,15008
0,0,0,0_0_0,17105
0,0,0,0_0_0,8263
0,0,0,0_0_0,12150
0,0,0,0_0_0,3018
0,0,0,0_0_0,1456
0,1,0,0_1_0,15660
0,1,0,0_1_0,12841
0,0,0,0_0_0,4895
0,0,0,0_0_0,6073
0,1,0,0_1_0,14832
0,0,0,0_0_0,9046
0,0,0,0_0_0,7456
0,0,0,0_0_0,6567
0,0,0,0_0_0,5467
0,1,0,0_1_0,13971
0,0,0,0_0_0,10601
0,0,0,0_0_0,18867
0,0,0,0_0_0,1756
0,0,0,0_0_0,12545
0,0,0,0_0_0,1493
0,0,0,0_0_0,7836
0,0,0,0_0_0,15615
0,0,0,0_0_0,1378
0,0,0,0_0_0,8359
0,0,0,0_0_0,15079
0,0,0,0_0_0,3441
0,0,0,0_0_0,6642
0,1,0,0_1_0,19016
0,0,0,0_0_0,17687
0,0,0,0_0_0,18145
0,0,0,0_0_0,16770
0,0,0,0_0_0,3683
0,0,0,0_0_0,14988
0,0,0,0_0_0,7021
0,0,0,0_0_0,11307
0,1,0,0_1_0,5522
0,0,0,0_0_0,9173
0,0,0,0_0_0,18942
0,1,0,0_1_0,5793
0,0,0,0_0_0,13529
0,0,0,0_0_0,17439
0,1,0,0_1_0,17751
0,1,0,0_1_0,19088
0,1,0,0_1_0,3693
0,0,0,0_0_0,1806
0,0,0,0_0_0,8893
0,1,0,0_1_0,3728
0,1,0,0_1_0,2703
0,0,0,0_0_0,7780
0,0,0,0_0_0,1425
0,0,0,0_0_0,17080
0,0,0,0_0_0,10568
0,0,0,0_0_0,18080
0,0,0,0_0_0,13606
0,0,0,0_0_0,8296
0,0,0,0_0_0,9901
0,1,0,0_1_0,10956
0,1,0,0_1_0,13448
0,0,0,0_0_0,5494
0,0,0,0_0_0,12285
0,0,0,0_0_0,4799
0,0,0,0_0_0,9890
0,0,0,0_0_0,2134
0,0,0,0_0_0,18729
0,0,0,0_0_0,18739
0,1,0,0_1_0,9231
0,1,0,0_1_0,18863
0,1,0,0_1_0,3927
0,0,0,0_0_0,4297
0,0,0,0_0_0,14080
0,0,0,0_0_0,6244
0,0,0,0_0_0,735
0,0,0,0_0_0,8840
0,0,0,0_0_0,9687
0,0,0,0_0_0,16676
0,0,0,0_0_0,17814
0,0,0,0_0_0,6715
0,1,0,0_1_0,18872
0,0,0,0_0_0,962
0,0,0,0_0_0,6143
0,0,0,0_0_0,18670
0,0,0,0_0_0,3124
0,0,0,0_0_0,611
0,0,0,0_0_0,18600
0,0,0,0_0_0,14777
0,0,0,0_0_0,5104
0,0,0,0_0_0,13453
0,0,0,0_0_0,13662
0,0,0,0_0_0,13846
0,1,0,0_1_0,11808
0,0,0,0_0_0,4984
0,1,0,0_1_0,18813
0,0,0,0_0_0,2008
0,0,0,0_0_0,3691
0,0,0,0_0_0,18614
0,0,0,0_0_0,10990
0,0,0,0_0_0,19005
0,0,0,0_0_0,18487
0,0,0,0_0_0,16380
0,0,0,0_0_0,3738
0,0,0,0_0_0,15390
0,1,0,0_1_0,6850
0,0,0,0_0_0,13787
0,0,0,0_0_0,18873
0,0,0,0_0_0,16360
0,0,0,0_0_0,18945
0,0,0,0_0_0,18095
0,0,0,0_0_0,18962
0,0,0,0_0_0,6481
0,0,0,0_0_0,13046
0,0,0,0_0_0,16570
0,1,0,0_1_0,124
0,0,0,0_0_0,14431
0,0,0,0_0_0,18898
0,0,0,0_0_0,18853
0,0,0,0_0_0,18837
0,0,0,0_0_0,6565
0,0,0,0_0_0,12643
0,0,0,0_0_0,1469
0,0,0,0_0_0,1043
0,0,0,0_0_0,17034
0,0,0,0_0_0,17933
0,1,0,0_1_0,16494
0,0,0,0_0_0,18824
0,1,0,0_1_0,17029
0,0,0,0_0_0,5395
0,0,0,0_0_0,4980
0,0,0,0_0_0,15851
0,0,0,0_0_0,2501
0,0,0,0_0_0,15882
0,0,0,0_0_0,14305
0,0,0,0_0_0,1568
0,0,0,0_0_0,4717
0,0,0,0_0_0,6697
0,0,0,0_0_0,6631
0,0,0,0_0_0,4977
0,0,0,0_0_0,10540
