label1,label2,label3,label,node
0,1,0,0_1_0,1267
0,1,0,0_1_0,264
0,0,0,0_0_0,1795
0,0,0,0_0_0,236
0,1,0,0_1_0,2044
0,1,0,0_1_0,2518
0,0,0,0_0_0,263
0,0,0,0_0_0,1721
0,0,0,0_0_0,2002
0,0,0,0_0_0,716
0,0,0,0_0_0,1473
0,0,0,0_0_0,2400
0,1,0,0_1_0,477
0,1,0,0_1_0,360
0,0,0,0_0_0,169
0,0,0,0_0_0,2632
0,0,0,0_0_0,2219
0,0,0,0_0_0,1629
0,1,0,0_1_0,1208
0,0,0,0_0_0,91
0,1,0,0_1_0,1134
0,0,0,0_0_0,2811
0,1,0,0_1_0,710
0,0,0,0_0_0,2769
0,1,0,0_1_0,109
0,1,0,0_1_0,108
0,0,0,0_0_0,2162
0,0,0,0_0_0,1494
0,1,0,0_1_0,1057
0,1,0,0_1_0,574
0,0,0,0_0_0,979
0,0,0,0_0_0,2661
0,0,0,0_0_0,1569
0,0,0,0_0_0,1246
0,0,0,0_0_0,2489
0,0,0,0_0_0,2328
0,1,0,0_1_0,299
0,0,0,0_0_0,2741
0,0,0,0_0_0,33
0,0,0,0_0_0,768
0,0,0,0_0_0,3206
0,0,0,0_0_0,2499
0,0,0,0_0_0,1393
0,1,0,0_1_0,2093
0,1,0,0_1_0,1888
0,0,0,0_0_0,964
0,0,0,0_0_0,408
0,1,0,0_1_0,41
0,1,0,0_1_0,2658
0,1,0,0_1_0,2300
0,0,0,0_0_0,2128
0,0,0,0_0_0,713
0,0,0,0_0_0,1668
0,0,0,0_0_0,2301
0,0,0,0_0_0,1676
0,0,0,0_0_0,280
0,1,0,0_1_0,1174
0,0,0,0_0_0,273
0,1,0,0_1_0,175
0,1,0,0_1_0,2941
0,1,0,0_1_0,2146
0,1,0,0_1_0,2500
0,1,0,0_1_0,192
0,1,0,0_1_0,426
0,1,0,0_1_0,2129
0,1,0,0_1_0,1499
0,0,0,0_0_0,1220
0,0,0,0_0_0,1868
0,0,0,0_0_0,441
0,1,0,0_1_0,898
0,1,0,0_1_0,1931
0,0,0,0_0_0,1469
0,0,0,0_0_0,2776
0,0,0,0_0_0,2586
0,1,0,0_1_0,225
0,0,0,0_0_0,1202
0,0,0,0_0_0,559
0,1,0,0_1_0,1189
0,1,0,0_1_0,1425
0,1,0,0_1_0,919
0,1,0,0_1_0,892
0,0,0,0_0_0,1732
0,0,0,0_0_0,230
0,0,0,0_0_0,2239
0,0,0,0_0_0,1587
0,0,0,0_0_0,39
0,0,0,0_0_0,2620
0,1,0,0_1_0,1957
0,1,0,0_1_0,2171
0,0,0,0_0_0,2240
0,0,0,0_0_0,2063
0,0,0,0_0_0,1844
0,1,0,0_1_0,1866
0,0,0,0_0_0,627
0,1,0,0_1_0,1767
0,0,0,0_0_0,2729
0,0,0,0_0_0,803
0,0,0,0_0_0,2330
0,0,0,0_0_0,3087
0,1,0,0_1_0,3085
0,0,0,0_0_0,2550
0,0,0,0_0_0,746
0,0,0,0_0_0,1195
0,1,0,0_1_0,636
0,1,0,0_1_0,3258
0,0,0,0_0_0,1875
0,0,0,0_0_0,2827
0,1,0,0_1_0,1528
0,0,0,0_0_0,3247
0,0,0,0_0_0,532
0,0,0,0_0_0,2001
0,0,0,0_0_0,3150
0,0,0,0_0_0,2574
0,0,0,0_0_0,18
0,0,0,0_0_0,1880
0,0,0,0_0_0,1717
0,1,0,0_1_0,767
0,0,0,0_0_0,1193
0,0,0,0_0_0,988
0,0,0,0_0_0,1812
0,0,0,0_0_0,1968
0,1,0,0_1_0,3115
0,0,0,0_0_0,686
0,1,0,0_1_0,888
0,1,0,0_1_0,1491
0,0,0,0_0_0,737
0,0,0,0_0_0,191
0,0,0,0_0_0,992
0,0,0,0_0_0,2561
0,0,0,0_0_0,3052
0,1,0,0_1_0,1092
0,0,0,0_0_0,1466
0,0,0,0_0_0,2909
0,0,0,0_0_0,3207
0,1,0,0_1_0,2787
0,0,0,0_0_0,2445
0,0,0,0_0_0,1985
0,0,0,0_0_0,2283
0,0,0,0_0_0,641
0,1,0,0_1_0,1828
0,0,0,0_0_0,1340
0,0,0,0_0_0,1215
0,0,0,0_0_0,721
0,0,0,0_0_0,1302
0,0,0,0_0_0,1654
0,1,0,0_1_0,366
0,1,0,0_1_0,2061
0,0,0,0_0_0,2711
0,0,0,0_0_0,232
0,0,0,0_0_0,61
0,1,0,0_1_0,376
0,0,0,0_0_0,1041
0,1,0,0_1_0,1859
0,0,0,0_0_0,1097
0,0,0,0_0_0,2505
0,0,0,0_0_0,1961
0,0,0,0_0_0,243
0,0,0,0_0_0,3134
0,0,0,0_0_0,749
0,0,0,0_0_0,132
0,0,0,0_0_0,2196
0,0,0,0_0_0,151
0,1,0,0_1_0,116
0,1,0,0_1_0,3310
0,0,0,0_0_0,2855
0,0,0,0_0_0,706
0,1,0,0_1_0,1994
0,0,0,0_0_0,1476
0,0,0,0_0_0,3020
0,0,0,0_0_0,1912
0,0,0,0_0_0,798
0,0,0,0_0_0,2830
0,0,0,0_0_0,2370
0,0,0,0_0_0,886
0,0,0,0_0_0,723
0,0,0,0_0_0,2674
0,0,0,0_0_0,2645
0,0,0,0_0_0,1176
0,0,0,0_0_0,31
0,0,0,0_0_0,3202
0,0,0,0_0_0,1570
0,0,0,0_0_0,90
