label1,label2,label3,label,node
0,0,0,0_0_0,2404
0,0,0,0_0_0,822
0,1,0,0_1_0,939
0,1,0,0_1_0,2174
0,0,0,0_0_0,2031
0,0,0,0_0_0,407
0,0,0,0_0_0,695
0,0,0,0_0_0,2309
0,0,0,0_0_0,1625
0,0,0,0_0_0,461
0,0,0,0_0_0,1587
0,0,0,0_0_0,414
0,0,0,0_0_0,79
0,0,0,0_0_0,1920
0,0,0,0_0_0,2030
0,0,0,0_0_0,460
0,0,0,0_0_0,2015
0,0,0,0_0_0,973
0,0,0,0_0_0,1797
0,0,0,0_0_0,2188
0,0,1,0_0_1,192
0,1,0,0_1_0,1371
0,1,0,0_1_0,2173
0,0,0,0_0_0,1268
0,0,0,0_0_0,1246
0,0,0,0_0_0,523
0,0,0,0_0_0,2099
0,0,0,0_0_0,1929
0,0,0,0_0_0,2098
0,1,0,0_1_0,545
0,0,0,0_0_0,2468
0,0,0,0_0_0,2312
0,0,0,0_0_0,1893
0,0,0,0_0_0,2166
0,0,0,0_0_0,2552
0,0,1,0_0_1,1248
0,0,0,0_0_0,2039
0,0,0,0_0_0,717
0,0,1,0_0_1,715
0,0,0,0_0_0,61
0,0,0,0_0_0,2097
0,0,0,0_0_0,2035
0,0,0,0_0_0,446
0,0,0,0_0_0,1338
0,0,0,0_0_0,995
0,0,1,0_0_1,2102
0,0,0,0_0_0,651
0,0,0,0_0_0,1635
0,0,0,0_0_0,1259
0,0,0,0_0_0,1225
0,0,0,0_0_0,176
0,0,0,0_0_0,907
0,0,0,0_0_0,191
0,0,0,0_0_0,2264
0,0,0,0_0_0,1916
0,0,0,0_0_0,1912
0,0,0,0_0_0,1713
0,0,0,0_0_0,1733
0,0,0,0_0_0,162
0,0,0,0_0_0,1658
0,0,0,0_0_0,1911
0,0,0,0_0_0,2023
0,0,1,0_0_1,854
0,0,1,0_0_1,1846
0,0,0,0_0_0,2426
0,0,0,0_0_0,1004
0,0,0,0_0_0,280
0,0,0,0_0_0,2381
0,0,0,0_0_0,1572
0,0,0,0_0_0,2119
0,0,1,0_0_1,1142
0,0,0,0_0_0,1394
0,0,0,0_0_0,1930
0,0,0,0_0_0,2680
0,0,1,0_0_1,993
0,0,0,0_0_0,621
0,0,0,0_0_0,260
0,0,0,0_0_0,2154
0,0,0,0_0_0,1976
0,0,0,0_0_0,803
0,0,0,0_0_0,2689
0,0,0,0_0_0,548
0,0,1,0_0_1,2293
0,0,0,0_0_0,1611
0,1,0,0_1_0,635
0,0,0,0_0_0,2151
0,0,0,0_0_0,1909
0,1,0,0_1_0,422
0,0,0,0_0_0,2190
0,0,0,0_0_0,1666
0,0,0,0_0_0,763
0,0,0,0_0_0,342
0,0,0,0_0_0,1561
0,0,0,0_0_0,707
0,0,0,0_0_0,2201
0,0,0,0_0_0,2559
0,0,0,0_0_0,211
0,0,0,0_0_0,2234
0,0,0,0_0_0,2554
0,0,0,0_0_0,2027
0,0,0,0_0_0,69
0,0,0,0_0_0,1319
0,0,0,0_0_0,2640
0,0,0,0_0_0,1993
0,0,1,0_0_1,1614
0,0,0,0_0_0,1167
0,0,0,0_0_0,1195
0,0,0,0_0_0,2129
0,0,0,0_0_0,1160
0,0,0,0_0_0,601
0,0,0,0_0_0,199
0,0,0,0_0_0,210
0,0,1,0_0_1,1682
0,0,0,0_0_0,2128
0,0,0,0_0_0,300
0,1,0,0_1_0,1544
0,0,0,0_0_0,1330
0,0,0,0_0_0,1743
0,0,0,0_0_0,2070
0,0,0,0_0_0,1907
0,0,0,0_0_0,2292
0,0,0,0_0_0,1522
0,0,0,0_0_0,2069
0,0,0,0_0_0,1590
0,0,0,0_0_0,2153
0,0,0,0_0_0,878
0,1,0,0_1_0,1393
0,0,0,0_0_0,1850
0,1,0,0_1_0,369
0,0,0,0_0_0,794
0,1,0,0_1_0,2058
0,0,0,0_0_0,2171
0,0,0,0_0_0,1137
0,0,0,0_0_0,716
0,0,0,0_0_0,1285
0,0,0,0_0_0,2575
0,0,0,0_0_0,496
0,0,1,0_0_1,1131
0,0,1,0_0_1,130
0,0,0,0_0_0,1119
0,0,0,0_0_0,2100
0,0,1,0_0_1,870
0,0,0,0_0_0,737
0,0,1,0_0_1,759
0,0,0,0_0_0,2577
0,0,0,0_0_0,1603
0,0,0,0_0_0,636
0,0,0,0_0_0,749
0,0,0,0_0_0,969
0,0,0,0_0_0,597
0,0,0,0_0_0,949
0,0,0,0_0_0,1174
0,0,0,0_0_0,642
0,0,1,0_0_1,503
0,0,1,0_0_1,574
0,0,0,0_0_0,2510
0,0,1,0_0_1,2578
0,0,0,0_0_0,750
0,0,0,0_0_0,1076
0,0,0,0_0_0,1078
0,0,0,0_0_0,1732
0,0,0,0_0_0,2456
0,0,0,0_0_0,2453
0,0,0,0_0_0,1341
0,0,0,0_0_0,224
