label1,label2,label3,label,node
0,1,0,0_1_0,263
0,1,0,0_1_0,2400
0,1,0,0_1_0,2741
0,0,0,0_0_0,710
0,0,0,0_0_0,109
0,1,0,0_1_0,1569
0,1,0,0_1_0,979
0,1,0,0_1_0,2219
0,1,0,0_1_0,169
0,1,0,0_1_0,1473
0,1,0,0_1_0,964
0,1,0,0_1_0,2128
0,1,0,0_1_0,33
0,1,0,0_1_0,2489
0,1,0,0_1_0,716
0,0,0,0_0_0,2518
0,0,0,0_0_0,2044
0,1,0,0_1_0,236
0,1,0,0_1_0,1795
0,1,0,0_1_0,713
0,1,0,0_1_0,1246
0,1,0,0_1_0,2162
0,1,0,0_1_0,280
0,1,0,0_1_0,3206
0,0,0,0_0_0,41
0,1,0,0_1_0,1676
0,0,0,0_0_0,360
0,0,0,0_0_0,477
0,0,0,0_0_0,2300
0,0,0,0_0_0,264
0,0,0,0_0_0,1267
0,1,0,0_1_0,408
0,0,0,0_0_0,1208
0,0,0,0_0_0,426
0,0,0,0_0_0,2129
0,0,0,0_0_0,2146
0,0,0,0_0_0,2500
0,0,0,0_0_0,2658
0,1,0,0_1_0,2661
0,0,0,0_0_0,108
0,1,0,0_1_0,2301
0,1,0,0_1_0,1721
0,1,0,0_1_0,2499
0,0,0,0_0_0,1174
0,1,0,0_1_0,1868
0,1,0,0_1_0,91
0,0,0,0_0_0,192
0,1,0,0_1_0,1202
0,0,0,0_0_0,1499
0,1,0,0_1_0,1629
0,1,0,0_1_0,2002
0,1,0,0_1_0,441
0,1,0,0_1_0,559
0,1,0,0_1_0,2769
0,0,0,0_0_0,225
0,1,0,0_1_0,273
0,0,0,0_0_0,1189
0,1,0,0_1_0,2811
0,0,0,0_0_0,1931
0,0,0,0_0_0,898
0,1,0,0_1_0,2328
0,1,0,0_1_0,1469
0,1,0,0_1_0,1494
0,1,0,0_1_0,39
0,1,0,0_1_0,1732
0,1,0,0_1_0,2330
0,1,0,0_1_0,2632
0,0,0,0_0_0,574
0,1,0,0_1_0,2586
0,1,0,0_1_0,803
0,1,0,0_1_0,2550
0,1,0,0_1_0,1195
0,1,0,0_1_0,2729
0,1,0,0_1_0,768
0,0,0,0_0_0,1057
0,1,0,0_1_0,230
0,1,0,0_1_0,2827
0,1,0,0_1_0,1587
0,0,0,0_0_0,1767
