label1,label2,label3,label,node
0,0,0,0_0_0,973
0,0,0,0_0_0,2404
0,0,0,0_0_0,2099
0,0,0,0_0_0,822
0,0,0,0_0_0,1246
0,0,0,0_0_0,523
0,0,0,0_0_0,1797
0,1,0,0_1_0,1371
0,1,0,0_1_0,545
0,0,0,0_0_0,1268
0,0,0,0_0_0,79
0,0,0,0_0_0,192
0,1,0,0_1_0,939
0,1,0,0_1_0,2174
0,0,0,0_0_0,2030
0,0,0,0_0_0,2309
0,0,0,0_0_0,1587
0,0,0,0_0_0,2031
0,0,0,0_0_0,2468
0,0,0,0_0_0,695
0,0,1,0_0_1,2166
0,0,0,0_0_0,2552
0,0,0,0_0_0,2039
0,0,0,0_0_0,460
0,0,0,0_0_0,1920
0,0,0,0_0_0,1929
0,0,0,0_0_0,2098
0,0,0,0_0_0,61
0,0,0,0_0_0,1248
0,0,0,0_0_0,461
0,0,0,0_0_0,2035
0,0,0,0_0_0,1635
0,0,0,0_0_0,1225
0,0,0,0_0_0,1259
0,0,0,0_0_0,2097
0,0,1,0_0_1,414
0,0,0,0_0_0,651
0,0,0,0_0_0,2188
0,0,1,0_0_1,907
0,0,0,0_0_0,1916
0,0,0,0_0_0,407
0,0,0,0_0_0,2381
0,0,0,0_0_0,854
0,0,0,0_0_0,1004
0,0,0,0_0_0,2119
0,0,1,0_0_1,2264
0,0,0,0_0_0,2426
0,0,0,0_0_0,1733
0,0,0,0_0_0,162
0,0,0,0_0_0,1625
0,1,0,0_1_0,2173
0,0,0,0_0_0,1893
0,0,0,0_0_0,2023
0,0,0,0_0_0,2312
0,0,0,0_0_0,1846
0,0,0,0_0_0,2680
0,0,0,0_0_0,803
0,0,0,0_0_0,1912
0,0,0,0_0_0,1930
0,0,0,0_0_0,548
0,0,0,0_0_0,280
0,0,0,0_0_0,2154
0,0,1,0_0_1,2015
0,0,1,0_0_1,2689
0,0,0,0_0_0,715
0,1,0,0_1_0,422
0,0,0,0_0_0,717
0,0,0,0_0_0,446
