label1,label2,label3,label,node
0,0,0,0_0_0,1393
0,0,0,0_0_0,2811
0,1,0,0_1_0,264
0,1,0,0_1_0,1267
0,1,0,0_1_0,1888
0,1,0,0_1_0,2093
0,0,0,0_0_0,1795
0,1,0,0_1_0,477
0,1,0,0_1_0,360
0,0,0,0_0_0,627
0,1,0,0_1_0,1425
0,1,0,0_1_0,919
0,0,0,0_0_0,1880
0,0,0,0_0_0,798
0,1,0,0_1_0,175
0,1,0,0_1_0,2941
0,1,0,0_1_0,2518
0,1,0,0_1_0,2044
0,0,0,0_0_0,1041
0,1,0,0_1_0,3310
0,1,0,0_1_0,116
0,0,0,0_0_0,2632
0,1,0,0_1_0,1957
0,1,0,0_1_0,2171
0,0,0,0_0_0,3052
0,1,0,0_1_0,2658
0,0,0,0_0_0,641
0,1,0,0_1_0,574
0,0,0,0_0_0,2400
0,0,0,0_0_0,2574
0,1,0,0_1_0,1962
0,0,0,0_0_0,2499
0,1,0,0_1_0,199
0,1,0,0_1_0,187
0,0,0,0_0_0,1131
0,0,0,0_0_0,1668
0,0,0,0_0_0,1215
0,1,0,0_1_0,0
0,1,0,0_1_0,628
0,0,0,0_0_0,1844
0,0,0,0_0_0,2674
0,0,0,0_0_0,3067
0,1,0,0_1_0,892
0,0,0,0_0_0,1097
0,0,0,0_0_0,1721
0,0,0,0_0_0,1447
0,1,0,0_1_0,2061
0,1,0,0_1_0,366
0,0,0,0_0_0,263
0,0,0,0_0_0,2001
0,0,0,0_0_0,2680
0,0,0,0_0_0,18
0,0,0,0_0_0,2769
0,0,0,0_0_0,2239
0,0,0,0_0_0,1469
0,0,0,0_0_0,2586
0,0,0,0_0_0,1476
0,1,0,0_1_0,41
0,0,0,0_0_0,2063
0,1,0,0_1_0,534
0,1,0,0_1_0,3055
0,1,0,0_1_0,3141
0,1,0,0_1_0,3085
0,0,0,0_0_0,2328
0,1,0,0_1_0,1866
0,1,0,0_1_0,2049
0,0,0,0_0_0,2169
0,1,0,0_1_0,108
0,0,0,0_0_0,1494
0,0,0,0_0_0,3150
0,1,0,0_1_0,251
0,1,0,0_1_0,111
0,0,0,0_0_0,2283
0,1,0,0_1_0,2300
0,0,0,0_0_0,2661
0,0,0,0_0_0,413
0,0,0,0_0_0,2556
0,0,0,0_0_0,2032
0,0,0,0_0_0,1710
0,0,0,0_0_0,90
0,0,0,0_0_0,2240
0,0,0,0_0_0,1340
0,0,0,0_0_0,255
0,1,0,0_1_0,2526
0,1,0,0_1_0,461
0,0,0,0_0_0,2620
0,0,0,0_0_0,1466
0,0,0,0_0_0,154
0,0,0,0_0_0,1733
0,0,0,0_0_0,2219
0,0,0,0_0_0,408
0,0,0,0_0_0,1812
0,0,0,0_0_0,2002
0,0,0,0_0_0,716
0,0,0,0_0_0,91
0,0,0,0_0_0,2505
0,1,0,0_1_0,376
0,1,0,0_1_0,474
0,0,0,0_0_0,1701
0,0,0,0_0_0,1625
0,0,0,0_0_0,361
0,1,0,0_1_0,3115
0,1,0,0_1_0,2716
0,1,0,0_1_0,3258
0,1,0,0_1_0,636
0,1,0,0_1_0,225
0,0,0,0_0_0,2655
0,1,0,0_1_0,1499
0,0,0,0_0_0,886
0,1,0,0_1_0,109
0,1,0,0_1_0,1528
0,0,0,0_0_0,1732
0,0,0,0_0_0,441
0,1,0,0_1_0,2795
0,1,0,0_1_0,2807
0,1,0,0_1_0,2806
0,0,0,0_0_0,2301
0,0,0,0_0_0,1968
0,0,0,0_0_0,2235
0,0,0,0_0_0,768
0,0,0,0_0_0,1234
0,1,0,0_1_0,710
0,0,0,0_0_0,2082
0,0,0,0_0_0,2855
0,0,0,0_0_0,1561
0,0,0,0_0_0,780
0,0,0,0_0_0,3275
0,0,0,0_0_0,230
0,0,0,0_0_0,169
0,1,0,0_1_0,2544
0,1,0,0_1_0,2758
0,0,0,0_0_0,548
0,1,0,0_1_0,2985
0,1,0,0_1_0,2986
0,0,0,0_0_0,1260
0,0,0,0_0_0,981
0,1,0,0_1_0,160
0,1,0,0_1_0,2503
0,0,0,0_0_0,418
0,0,0,0_0_0,1985
0,0,0,0_0_0,191
0,0,0,0_0_0,1912
0,0,0,0_0_0,1849
0,0,0,0_0_0,1220
0,1,0,0_1_0,1177
0,1,0,0_1_0,3204
0,1,0,0_1_0,3245
0,0,0,0_0_0,2909
0,1,0,0_1_0,2051
0,1,0,0_1_0,1208
0,0,0,0_0_0,232
0,1,0,0_1_0,2997
0,1,0,0_1_0,888
0,0,0,0_0_0,744
0,0,0,0_0_0,1295
0,1,0,0_1_0,1067
0,0,0,0_0_0,3206
0,1,0,0_1_0,1752
0,1,0,0_1_0,192
