label1,label2,label3,label,node
0,0,0,0_0_0,973
0,0,0,0_0_0,2031
0,0,0,0_0_0,79
0,0,0,0_0_0,1330
0,1,0,0_1_0,2690
0,0,0,0_0_0,1912
0,0,0,0_0_0,1713
0,0,0,0_0_0,176
0,0,0,0_0_0,1911
0,0,0,0_0_0,767
0,1,0,0_1_0,939
0,0,0,0_0_0,1013
0,0,0,0_0_0,1603
0,0,0,0_0_0,2102
0,0,0,0_0_0,1338
0,0,0,0_0_0,995
0,0,0,0_0_0,2282
0,1,0,0_1_0,2173
0,1,0,0_1_0,2661
0,0,0,0_0_0,2023
0,0,1,0_0_1,388
0,0,0,0_0_0,1131
0,0,0,0_0_0,191
0,0,0,0_0_0,1078
0,0,0,0_0_0,2309
0,0,0,0_0_0,1652
0,0,0,0_0_0,1625
0,0,0,0_0_0,1411
0,0,0,0_0_0,941
0,0,0,0_0_0,2097
0,0,0,0_0_0,407
0,0,0,0_0_0,2257
0,0,0,0_0_0,695
0,1,0,0_1_0,23
0,0,0,0_0_0,2136
0,0,1,0_0_1,2234
0,0,0,0_0_0,1882
0,0,0,0_0_0,398
0,0,1,0_0_1,1561
0,0,0,0_0_0,1174
0,0,0,0_0_0,1658
0,0,0,0_0_0,2404
0,0,0,0_0_0,548
0,0,0,0_0_0,260
0,0,0,0_0_0,854
0,0,1,0_0_1,2128
0,0,0,0_0_0,1682
0,0,0,0_0_0,2553
0,0,0,0_0_0,1878
0,0,0,0_0_0,1879
0,0,0,0_0_0,1110
0,0,0,0_0_0,1920
0,0,0,0_0_0,1578
0,0,0,0_0_0,897
0,0,0,0_0_0,2298
0,0,0,0_0_0,2104
0,0,0,0_0_0,2015
0,0,0,0_0_0,2153
0,1,0,0_1_0,66
0,0,0,0_0_0,2196
0,0,0,0_0_0,2640
0,0,0,0_0_0,1394
0,0,1,0_0_1,1435
0,0,1,0_0_1,750
0,0,0,0_0_0,1611
0,0,0,0_0_0,1976
0,0,0,0_0_0,2189
0,0,0,0_0_0,2655
0,0,0,0_0_0,949
0,1,0,0_1_0,474
0,1,1,0_1_1,641
0,0,0,0_0_0,2030
0,0,0,0_0_0,2689
0,0,0,0_0_0,2405
0,0,1,0_0_1,1937
0,0,0,0_0_0,2154
0,0,0,0_0_0,2188
0,0,0,0_0_0,878
0,0,0,0_0_0,211
0,0,0,0_0_0,360
0,1,0,0_1_0,2174
0,0,0,0_0_0,1587
0,0,1,0_0_1,2453
0,1,0,0_1_0,2639
0,0,0,0_0_0,2295
0,0,0,0_0_0,1244
0,0,0,0_0_0,1313
0,0,0,0_0_0,1899
0,0,0,0_0_0,386
0,0,0,0_0_0,1909
0,0,0,0_0_0,1824
0,0,0,0_0_0,1120
0,0,0,0_0_0,1137
0,0,0,0_0_0,1993
0,1,0,0_1_0,635
0,0,0,0_0_0,1973
0,0,0,0_0_0,1769
0,0,0,0_0_0,1907
0,0,0,0_0_0,643
0,0,0,0_0_0,1345
0,0,0,0_0_0,822
0,0,0,0_0_0,2510
0,0,0,0_0_0,2577
0,1,0,0_1_0,2666
0,0,1,0_0_1,446
0,0,0,0_0_0,342
0,0,0,0_0_0,2297
0,0,0,0_0_0,2151
0,0,0,0_0_0,61
0,1,0,0_1_0,2058
0,0,0,0_0_0,2470
0,0,0,0_0_0,2487
0,0,1,0_0_1,519
0,0,0,0_0_0,2468
0,0,0,0_0_0,1846
0,0,0,0_0_0,2424
0,0,0,0_0_0,2195
0,0,0,0_0_0,667
0,1,0,0_1_0,780
0,0,0,0_0_0,2129
0,0,0,0_0_0,300
0,0,0,0_0_0,414
0,0,0,0_0_0,2138
0,0,0,0_0_0,1167
0,0,0,0_0_0,192
0,0,0,0_0_0,1856
0,0,0,0_0_0,1787
0,0,0,0_0_0,642
0,0,0,0_0_0,2407
0,0,0,0_0_0,1311
0,1,0,0_1_0,284
0,0,0,0_0_0,303
0,0,0,0_0_0,2321
0,0,0,0_0_0,859
0,0,0,0_0_0,1883
0,0,0,0_0_0,162
0,0,0,0_0_0,496
0,0,1,0_0_1,950
0,1,1,0_1_1,369
0,0,0,0_0_0,1930
0,0,0,0_0_0,888
0,0,1,0_0_1,280
0,0,0,0_0_0,1515
0,0,1,0_0_1,1119
0,0,0,0_0_0,2311
0,0,0,0_0_0,1195
0,0,0,0_0_0,621
0,0,0,0_0_0,2423
0,0,0,0_0_0,2506
0,0,0,0_0_0,41
0,1,0,0_1_0,84
0,0,0,0_0_0,1850
0,0,0,0_0_0,1004
0,0,1,0_0_1,255
0,0,1,0_0_1,2069
0,0,0,0_0_0,2070
0,0,1,0_0_1,2427
0,0,0,0_0_0,1459
0,0,0,0_0_0,968
0,0,0,0_0_0,2099
0,1,0,0_1_0,2255
0,1,0,0_1_0,225
0,0,0,0_0_0,2190
0,0,0,0_0_0,2100
0,0,0,0_0_0,2005
0,0,0,0_0_0,69
0,0,0,0_0_0,2576
0,0,0,0_0_0,329
0,0,0,0_0_0,2201
0,0,0,0_0_0,399
0,0,0,0_0_0,944
0,0,1,0_0_1,1732
0,0,0,0_0_0,461
0,1,0,0_1_0,117
0,0,0,0_0_0,1448
0,1,0,0_1_0,1593
0,0,0,0_0_0,146
0,1,0,0_1_0,1165
0,0,0,0_0_0,749
0,0,0,0_0_0,1351
0,0,0,0_0_0,2217
0,0,0,0_0_0,2278
0,1,0,0_1_0,462
0,0,0,0_0_0,1442
0,0,0,0_0_0,264
0,0,0,0_0_0,2615
0,0,0,0_0_0,1680
0,0,1,0_0_1,1285
0,0,0,0_0_0,1885
0,0,0,0_0_0,1990
0,1,0,0_1_0,1393
0,1,0,0_1_0,1371
0,0,0,0_0_0,413
0,0,1,0_0_1,1076
0,0,1,0_0_1,1743
0,0,0,0_0_0,523
0,0,0,0_0_0,1852
0,0,0,0_0_0,2171
0,1,1,0_1_1,2619
0,0,1,0_0_1,717
0,0,0,0_0_0,2294
0,0,0,0_0_0,1259
0,0,0,0_0_0,2027
0,0,0,0_0_0,1367
0,0,0,0_0_0,651
0,1,0,0_1_0,213
0,1,0,0_1_0,144
0,0,1,0_0_1,1183
0,0,0,0_0_0,20
0,0,1,0_0_1,2575
0,0,1,0_0_1,1508
0,1,0,0_1_0,947
0,0,0,0_0_0,1340
0,0,0,0_0_0,476
0,0,0,0_0_0,109
0,0,0,0_0_0,409
0,0,0,0_0_0,472
0,0,1,0_0_1,149
0,0,0,0_0_0,2166
0,0,0,0_0_0,1524
0,0,0,0_0_0,663
0,0,0,0_0_0,870
0,0,0,0_0_0,1487
0,0,0,0_0_0,1783
0,0,0,0_0_0,130
0,0,0,0_0_0,2554
0,0,0,0_0_0,1246
0,0,0,0_0_0,460
0,0,0,0_0_0,2414
0,0,0,0_0_0,1867
0,0,0,0_0_0,1781
0,0,0,0_0_0,1693
0,0,1,0_0_1,441
0,0,0,0_0_0,175
0,0,0,0_0_0,2091
0,0,0,0_0_0,699
0,0,0,0_0_0,2308
0,0,0,0_0_0,318
0,1,0,0_1_0,2692
0,1,0,0_1_0,832
0,0,0,0_0_0,2654
0,0,0,0_0_0,993
0,0,0,0_0_0,826
0,0,0,0_0_0,1539
0,0,0,0_0_0,1572
0,0,0,0_0_0,2344
0,0,0,0_0_0,2481
0,0,0,0_0_0,2312
0,0,0,0_0_0,2266
0,0,0,0_0_0,601
0,0,1,0_0_1,87
0,0,0,0_0_0,1784
0,0,0,0_0_0,1156
0,0,0,0_0_0,2315
0,0,0,0_0_0,2264
0,0,0,0_0_0,563
0,0,0,0_0_0,1444
0,0,0,0_0_0,1574
0,0,0,0_0_0,1251
0,0,0,0_0_0,628
0,1,0,0_1_0,2569
0,1,0,0_1_0,477
0,0,0,0_0_0,1248
0,0,0,0_0_0,1142
0,0,1,0_0_1,1797
0,0,0,0_0_0,670
0,0,1,0_0_1,1405
0,0,0,0_0_0,559
0,0,0,0_0_0,694
0,0,0,0_0_0,1341
0,0,0,0_0_0,1404
1,0,0,1_0_0,402
1,0,0,1_0_0,737
1,1,1,1_1_1,954
1,0,0,1_0_0,716
1,1,0,1_1_0,307
1,0,0,1_0_0,459
1,0,0,1_0_0,907
1,0,0,1_0_0,597
1,0,0,1_0_0,1618
1,0,0,1_0_0,1455
1,1,0,1_1_0,1600
1,0,0,1_0_0,1391
1,0,0,1_0_0,2045
1,0,0,1_0_0,1141
1,0,0,1_0_0,1354
1,0,0,1_0_0,1268
1,0,0,1_0_0,1381
1,0,0,1_0_0,838
1,0,0,1_0_0,1916
1,0,0,1_0_0,2592
1,0,0,1_0_0,2578
1,0,0,1_0_0,2507
1,0,1,1_0_1,1096
1,0,0,1_0_0,171
1,0,0,1_0_0,1670
1,0,0,1_0_0,2293
1,0,0,1_0_0,1896
1,0,1,1_0_1,1651
1,0,0,1_0_0,129
1,0,0,1_0_0,1862
1,0,0,1_0_0,577
1,0,1,1_0_1,2579
1,0,1,1_0_1,2500
1,0,1,1_0_1,393
1,0,0,1_0_0,1346
1,0,0,1_0_0,1057
1,0,0,1_0_0,781
1,0,0,1_0_0,2056
