label1,label2,label3,label,node
0,0,0,0_0_0,17663
0,0,0,0_0_0,4110
0,1,0,0_1_0,11229
0,0,0,0_0_0,14040
0,0,0,0_0_0,17905
0,0,0,0_0_0,4802
0,0,0,0_0_0,13607
0,0,0,0_0_0,5244
0,1,0,0_1_0,10623
0,0,0,0_0_0,17974
0,0,0,0_0_0,11209
0,1,0,0_1_0,13047
0,0,0,0_0_0,18834
0,0,0,0_0_0,13955
0,0,0,0_0_0,3981
0,0,0,0_0_0,16705
0,0,0,0_0_0,1770
0,1,0,0_1_0,18055
0,0,0,0_0_0,5341
0,0,0,0_0_0,394
0,0,0,0_0_0,13424
0,1,0,0_1_0,5599
0,0,0,0_0_0,9320
0,0,0,0_0_0,17550
0,0,0,0_0_0,8270
0,0,0,0_0_0,785
0,0,0,0_0_0,6948
0,0,0,0_0_0,7068
0,0,0,0_0_0,19455
0,1,0,0_1_0,5437
0,0,0,0_0_0,2899
0,0,0,0_0_0,14920
0,0,0,0_0_0,14213
0,0,0,0_0_0,3936
0,0,0,0_0_0,6887
0,0,0,0_0_0,11286
0,0,0,0_0_0,8585
0,1,0,0_1_0,14731
0,0,0,0_0_0,437
0,0,0,0_0_0,13810
0,0,0,0_0_0,14633
0,0,0,0_0_0,1940
0,0,0,0_0_0,12984
0,1,0,0_1_0,8707
0,1,0,0_1_0,463
0,0,0,0_0_0,4716
0,0,0,0_0_0,125
0,1,0,0_1_0,3455
0,0,0,0_0_0,6818
0,0,0,0_0_0,976
0,1,0,0_1_0,15524
0,0,0,0_0_0,2887
0,0,0,0_0_0,2893
0,0,0,0_0_0,1053
0,1,0,0_1_0,5475
0,0,0,0_0_0,18531
0,0,0,0_0_0,15126
0,0,0,0_0_0,19621
0,0,0,0_0_0,9811
0,0,0,0_0_0,5196
0,1,0,0_1_0,15046
0,0,0,0_0_0,8107
0,0,0,0_0_0,5347
0,0,0,0_0_0,15147
0,0,0,0_0_0,12289
0,1,0,0_1_0,300
0,0,0,0_0_0,7181
0,0,0,0_0_0,13383
0,1,0,0_1_0,5986
0,0,0,0_0_0,1072
0,0,0,0_0_0,14983
0,0,0,0_0_0,19575
0,1,0,0_1_0,12121
0,0,0,0_0_0,8970
0,0,0,0_0_0,17629
0,0,0,0_0_0,7385
0,0,0,0_0_0,501
0,0,0,0_0_0,12044
0,0,0,0_0_0,12848
0,1,0,0_1_0,6710
0,0,0,0_0_0,17896
0,0,0,0_0_0,19486
0,0,0,0_0_0,14109
0,0,0,0_0_0,17463
0,0,0,0_0_0,14017
0,0,0,0_0_0,3219
0,0,0,0_0_0,9243
0,0,0,0_0_0,4579
0,1,0,0_1_0,13171
0,0,0,0_0_0,15585
0,0,0,0_0_0,994
0,0,0,0_0_0,17758
0,1,0,0_1_0,14999
0,0,0,0_0_0,8084
0,0,0,0_0_0,17504
0,0,0,0_0_0,2687
0,1,0,0_1_0,17665
0,0,0,0_0_0,2880
0,0,0,0_0_0,2161
0,0,0,0_0_0,19562
0,0,0,0_0_0,3860
0,0,0,0_0_0,13050
0,0,0,0_0_0,15115
0,0,0,0_0_0,589
0,0,0,0_0_0,8425
0,1,0,0_1_0,807
0,0,0,0_0_0,14230
0,0,0,0_0_0,3633
0,0,0,0_0_0,7170
0,0,0,0_0_0,13167
0,1,0,0_1_0,1400
0,0,0,0_0_0,6267
0,0,0,0_0_0,15640
0,0,0,0_0_0,5556
0,1,0,0_1_0,8787
0,0,0,0_0_0,3164
0,0,0,0_0_0,4352
0,0,0,0_0_0,1094
0,0,0,0_0_0,1591
0,0,0,0_0_0,14571
0,0,0,0_0_0,18993
0,0,0,0_0_0,15656
0,0,0,0_0_0,4670
0,0,0,0_0_0,14833
0,0,0,0_0_0,8282
0,0,0,0_0_0,11465
0,0,0,0_0_0,4639
0,0,0,0_0_0,3134
0,0,0,0_0_0,13660
0,0,0,0_0_0,16103
0,1,0,0_1_0,13743
0,0,0,0_0_0,6372
0,0,0,0_0_0,3978
0,1,0,0_1_0,9286
0,0,0,0_0_0,7600
0,0,0,0_0_0,674
0,0,0,0_0_0,11686
0,0,0,0_0_0,14884
0,0,0,0_0_0,15277
0,0,0,0_0_0,13667
0,0,0,0_0_0,19312
0,0,0,0_0_0,937
0,0,0,0_0_0,2075
0,0,0,0_0_0,15699
0,0,0,0_0_0,2752
0,1,0,0_1_0,2819
0,0,0,0_0_0,10668
0,0,0,0_0_0,6508
0,0,0,0_0_0,9084
0,0,0,0_0_0,6238
0,0,0,0_0_0,14475
0,0,0,0_0_0,16956
0,1,0,0_1_0,6414
0,0,0,0_0_0,14140
0,0,0,0_0_0,10007
0,0,0,0_0_0,4403
0,0,0,0_0_0,4586
0,0,0,0_0_0,16177
0,0,0,0_0_0,9458
0,0,0,0_0_0,11942
0,1,0,0_1_0,14390
0,0,0,0_0_0,16611
0,0,0,0_0_0,11702
0,0,0,0_0_0,6160
0,0,0,0_0_0,4350
0,0,0,0_0_0,15581
0,0,0,0_0_0,1344
0,0,0,0_0_0,11770
0,0,0,0_0_0,7618
0,1,0,0_1_0,12304
0,0,0,0_0_0,15279
0,0,0,0_0_0,2597
0,0,0,0_0_0,4227
0,0,0,0_0_0,6824
0,0,0,0_0_0,11123
0,0,0,0_0_0,14655
0,1,0,0_1_0,14420
0,0,0,0_0_0,17021
0,0,0,0_0_0,5692
0,1,0,0_1_0,16694
0,0,0,0_0_0,7794
0,0,0,0_0_0,4700
0,0,0,0_0_0,8922
0,0,0,0_0_0,17878
0,0,0,0_0_0,13329
0,0,0,0_0_0,4014
0,0,0,0_0_0,13738
